Date,Open,High,Low,Close,Volume,Adj Close
11/9/2006,14,14.4,13.99,14.4,74100,14.4
11/10/2006,14.26,14.35,13.75,13.76,4400,13.76
11/13/2006,13.57,14.01,13.55,14,165400,14
11/14/2006,13.66,14.39,13.66,13.75,13400,13.75
11/15/2006,14.38,14.39,13.6,13.75,163600,13.75
11/16/2006,13.5,14.4,13.5,14.4,23600,14.4
11/17/2006,14.4,14.42,13.95,13.95,3600,13.95
11/20/2006,13.23,14.5,13,14.2,9900,14.2
11/21/2006,14.42,14.42,14.02,14.03,16100,14.03
11/22/2006,14.22,14.41,14,14.2,1600,14.2
11/24/2006,14.2,14.2,13.85,14,13300,14
11/27/2006,14.01,14.01,13.75,13.77,5800,13.77
11/28/2006,13.81,13.88,13.25,13.88,5700,13.88
11/29/2006,13.9,14.5,13.85,14.26,4000,14.26
11/30/2006,14.4,14.4,14.01,14.1,3000,14.1
12/1/2006,14.05,16.71,14.05,15.25,54500,15.25
12/4/2006,15.12,16.05,15.01,15.99,10400,15.99
12/5/2006,16.25,17.19,16.2,17.19,80600,17.19
12/6/2006,16.76,17.25,16.56,16.97,12900,16.97
12/7/2006,17.35,17.94,17.28,17.58,4200,17.58
12/8/2006,17.8,17.8,17.4,17.52,2600,17.52
12/11/2006,17.52,17.62,17.52,17.57,600,17.57
12/12/2006,17.4,17.4,16.42,16.5,19600,16.5
12/13/2006,16.4,16.4,16.25,16.4,18300,16.4
12/14/2006,16.2,16.3,15.68,15.9,5400,15.9
12/15/2006,15.8,15.8,14.75,14.75,3100,14.75
12/18/2006,14.85,14.85,14.25,14.83,9300,14.83
12/19/2006,15.08,15.08,14.75,14.75,600,14.75
12/20/2006,14.77,15.69,14.45,15.45,114600,15.45
12/21/2006,14.95,15.49,14.95,15.27,23300,15.27
12/22/2006,15.27,15.4,15.27,15.4,15400,15.4
12/26/2006,15.49,15.7,15.49,15.55,1200,15.55
12/27/2006,15.68,15.68,15.45,15.5,2300,15.5
12/28/2006,15.45,15.45,15.29,15.39,1100,15.39
12/29/2006,15.45,16.36,15.4,16.11,18000,16.11
1/3/2007,16.43,17.28,16.06,17.28,54900,17.28
1/4/2007,17.44,17.5,17.04,17.45,2500,17.45
1/5/2007,17.24,17.24,16.7,17.08,95800,17.08
1/8/2007,17.14,17.44,17.1,17.44,29400,17.44
1/9/2007,17.49,17.6,16.97,16.97,194000,16.97
1/10/2007,16.87,17,16.87,16.99,800,16.99
1/11/2007,16.87,17.03,16.66,17,8400,17
1/12/2007,17.05,17.12,16.99,17,3400,17
1/16/2007,17.05,17.2,16.62,16.83,3500,16.83
1/17/2007,16.85,16.85,16.6,16.6,14300,16.6
1/18/2007,16.55,16.63,16.5,16.5,20100,16.5
1/19/2007,16.49,16.5,16.25,16.34,22700,16.34
1/22/2007,16.35,16.42,16.13,16.13,1100,16.13
1/23/2007,15.91,16.1,15.63,15.65,7700,15.65
1/24/2007,15.78,16.04,15.78,16.04,2200,16.04
1/25/2007,16.04,16.2,16.04,16.14,1300,16.14
1/26/2007,16.24,16.94,16.24,16.69,4900,16.69
1/29/2007,16.76,17.95,16.76,17.81,9600,17.81
1/30/2007,18,18.76,17.84,18.58,14900,18.58
1/31/2007,18.72,19.26,18.56,19.26,13800,19.26
2/1/2007,19.01,20,19.01,19.61,23000,19.61
2/2/2007,19.79,19.79,18.66,19.15,28100,19.15
2/5/2007,19.12,19.15,18.43,19,48500,19
2/6/2007,18.91,19.16,18.69,18.99,30800,18.99
2/7/2007,18.91,19.1,18.62,18.67,11600,18.67
2/8/2007,18.56,18.93,17.96,17.99,8900,17.99
2/9/2007,8.9,9.2,8.56,8.87,559200,8.87
2/12/2007,9.22,9.36,8.75,8.86,145400,8.86
2/13/2007,8.87,8.97,8.79,8.89,42500,8.89
2/14/2007,8.89,9.05,8.75,8.9,66400,8.9
2/15/2007,9,9,8.7,8.85,98300,8.85
2/16/2007,8.85,8.91,8.5,8.79,185400,8.79
2/20/2007,8.82,8.82,8.42,8.45,77300,8.45
2/21/2007,8.58,8.6,8.11,8.38,48900,8.38
2/22/2007,8.32,8.57,8.3,8.5,579000,8.5
2/23/2007,8.55,8.6,8.41,8.41,20500,8.41
2/26/2007,8.54,8.65,8.3,8.4,8200,8.4
2/27/2007,8.36,8.39,8,8.02,55400,8.02
2/28/2007,8.01,8.01,7.62,7.9,15400,7.9
3/1/2007,7.9,7.91,7.71,7.75,12900,7.75
3/2/2007,7.7,7.75,7.45,7.46,25800,7.46
3/5/2007,7.84,7.84,6.81,6.92,75300,6.92
3/6/2007,6.95,7.16,6.85,7,31800,7
3/7/2007,7.03,7.49,7.01,7.49,18800,7.49
3/8/2007,7.49,7.8,7.39,7.51,20700,7.51
3/9/2007,7.55,7.68,7.4,7.46,12200,7.46
3/12/2007,7.39,7.5,7.11,7.5,19300,7.5
3/13/2007,7.44,8,7.36,7.46,87500,7.46
3/14/2007,7.5,7.5,7.01,7.04,24600,7.04
3/15/2007,7.04,7.2,7.02,7.02,37400,7.02
3/16/2007,7.06,7.06,6.77,6.79,9700,6.79
3/19/2007,6.82,6.82,6.21,6.36,53500,6.36
3/20/2007,6.5,6.52,6.27,6.27,22200,6.27
3/21/2007,6.29,6.29,6.04,6.04,86400,6.04
3/22/2007,6.31,6.31,6.01,6.01,21900,6.01
3/23/2007,6.05,6.19,6.04,6.08,22200,6.08
3/26/2007,6.13,6.17,6.09,6.1,6300,6.1
3/27/2007,6.05,6.1,5.93,5.96,20300,5.96
3/28/2007,6,6,5.78,5.9,25300,5.9
3/29/2007,5.88,5.98,5.77,5.84,35900,5.84
3/30/2007,5.76,5.86,5.71,5.81,23300,5.81
4/2/2007,5.76,5.87,5.76,5.78,9400,5.78
4/3/2007,5.78,5.85,5.71,5.71,12800,5.71
4/4/2007,5.78,5.81,5.75,5.75,11400,5.75
4/5/2007,5.79,6.04,5.58,6,23900,6
4/9/2007,6.05,6.66,6.05,6.12,27600,6.12
4/10/2007,6.05,6.05,5.88,5.88,23400,5.88
4/11/2007,5.88,5.94,5.76,5.9,18100,5.9
4/12/2007,5.9,6.2,5.8,6.13,78600,6.13
4/13/2007,6.25,6.56,6.01,6.16,31700,6.16
4/16/2007,7.06,7.41,6.3,6.3,45500,6.3
4/17/2007,6.39,6.5,6.14,6.14,46500,6.14
4/18/2007,6.3,6.35,5.95,6.16,21600,6.16
4/19/2007,6.35,6.35,5.96,6,19900,6
4/20/2007,6.11,6.11,5.94,5.95,7200,5.95
4/23/2007,6,6.1,5.64,5.79,22100,5.79
4/24/2007,5.79,5.86,5.79,5.81,7600,5.81
4/25/2007,5.81,5.92,5.65,5.72,15000,5.72
4/26/2007,5.72,5.9,5.67,5.82,80800,5.82
4/27/2007,5.83,5.86,5.39,5.76,104000,5.76
4/30/2007,5.76,6.15,5.76,6.1,35400,6.1
5/1/2007,6.11,6.47,5.92,6.22,81700,6.22
5/2/2007,6.27,6.27,5.93,5.95,22900,5.95
5/3/2007,5.96,6.05,5.93,5.93,14600,5.93
5/4/2007,5.99,5.99,5.8,5.8,8100,5.8
5/7/2007,5.89,6.05,5.81,5.93,13400,5.93
5/8/2007,5.95,6.1,5.95,6.05,47200,6.05
5/9/2007,5.92,6.02,5.92,6.01,196000,6.01
5/10/2007,6.03,6.03,5.94,5.94,27000,5.94
5/11/2007,5.92,5.94,5.56,5.6,21800,5.6
5/14/2007,5.57,5.7,5.3,5.34,25300,5.34
5/15/2007,5.4,5.45,4.95,5.05,71900,5.05
5/16/2007,5.1,5.13,5.01,5.1,22600,5.1
5/17/2007,5.1,5.18,5.06,5.08,8400,5.08
5/18/2007,5.01,5.16,4.91,5.02,13200,5.02
5/21/2007,5.01,5.09,5,5.07,13700,5.07
5/22/2007,5.18,5.18,5.07,5.08,5200,5.08
5/23/2007,5.08,5.3,5.08,5.29,10200,5.29
5/24/2007,5.29,5.29,5.01,5.14,3100,5.14
5/25/2007,5.22,5.27,5.2,5.2,3600,5.2
5/29/2007,5.25,5.25,5.16,5.16,3200,5.16
5/30/2007,5.16,5.43,5.16,5.43,341000,5.43
5/31/2007,5.34,5.58,5.34,5.35,38300,5.35
6/1/2007,5.31,5.34,5.25,5.28,237000,5.28
6/4/2007,5.27,5.28,5.1,5.25,21600,5.25
6/5/2007,5.25,5.4,5.25,5.33,8100,5.33
6/6/2007,5.34,5.41,5.32,5.41,9400,5.41
6/7/2007,5.46,5.54,5.25,5.4,15500,5.4
6/8/2007,5.26,5.43,5.26,5.38,5300,5.38
6/11/2007,5.21,5.3,5.06,5.29,12900,5.29
6/12/2007,5.38,5.38,5.04,5.19,18800,5.19
6/13/2007,5.18,5.23,5.1,5.2,18700,5.2
6/14/2007,5.24,5.24,5.15,5.2,18800,5.2
6/15/2007,5.23,5.23,5.18,5.18,3400,5.18
6/18/2007,5.25,5.28,5.19,5.25,149900,5.25
6/19/2007,5.39,5.78,5.26,5.71,20700,5.71
6/20/2007,5.75,5.75,5.61,5.61,7700,5.61
6/21/2007,5.61,6.04,5.42,6.01,315300,6.01
6/22/2007,5.95,6.25,5.8,5.99,381300,5.99
6/25/2007,6.13,6.16,5.78,5.89,18700,5.89
6/26/2007,5.95,5.95,5.75,5.79,6300,5.79
6/27/2007,5.7,5.73,5.69,5.7,2400,5.7
6/28/2007,5.73,5.75,5.5,5.5,6700,5.5
6/29/2007,5.46,6,5.46,5.98,57200,5.98
7/2/2007,5.88,5.92,5.61,5.8,12000,5.8
7/3/2007,5.85,5.92,5.76,5.85,79100,5.85
7/5/2007,5.97,5.97,5.61,5.76,13100,5.76
7/6/2007,5.87,6,5.7,5.85,23300,5.85
7/9/2007,5.9,6,5.84,5.95,18900,5.95
7/10/2007,5.95,5.95,5.73,5.82,13700,5.82
7/11/2007,5.89,5.9,5.75,5.77,21300,5.77
7/12/2007,5.77,6.1,5.77,5.98,13700,5.98
7/13/2007,5.98,5.98,5.83,5.92,10800,5.92
7/16/2007,5.92,6.5,5.72,6.04,223800,6.04
7/17/2007,5.92,6.07,5.9,6.02,84900,6.02
7/18/2007,6.18,6.27,6.01,6.19,16200,6.19
7/19/2007,6.1,6.26,6,6.05,38000,6.05
7/20/2007,6.07,6.29,6,6.26,18800,6.26
7/23/2007,6.3,6.3,6.02,6.21,4100,6.21
7/24/2007,6.07,6.18,5.91,6.05,12700,6.05
7/25/2007,6.12,6.13,6,6.04,33400,6.04
7/26/2007,6,6.15,6,6.09,59100,6.09
7/27/2007,6.1,6.1,5.99,6.04,58500,6.04
7/30/2007,5.93,6.15,5.85,6.02,113500,6.02
7/31/2007,6.05,6.2,5.86,6.07,12600,6.07
8/1/2007,6.03,6.09,6,6.05,41400,6.05
8/2/2007,6,6.08,6,6.01,117500,6.01
8/3/2007,5.91,6.1,5.82,6.05,52700,6.05
8/6/2007,6.05,6.25,6,6.07,21900,6.07
8/7/2007,6.13,6.15,5.91,5.91,67600,5.91
8/8/2007,6.05,6.15,5.83,5.89,16000,5.89
8/9/2007,5.89,6.33,5.85,6.25,18200,6.25
8/10/2007,6.22,7.17,6.16,6.71,74700,6.71
8/13/2007,6.95,7.3,6.57,7.12,87400,7.12
8/14/2007,7.06,7.35,6.57,7.03,27700,7.03
8/15/2007,6.56,7.25,6.56,7.24,19800,7.24
8/16/2007,7.4,7.86,7.08,7.18,20500,7.18
8/17/2007,7.25,7.71,6.65,7.71,43700,7.71
8/20/2007,7.82,7.82,6.95,7.44,24800,7.44
8/21/2007,7.39,7.44,7.32,7.44,1800,7.44
8/22/2007,7.43,7.44,6.76,7.22,15100,7.22
8/23/2007,7.07,7.35,6.84,7.34,7700,7.34
8/24/2007,7.33,7.4,7.21,7.26,11300,7.26
8/27/2007,7.38,7.65,7.35,7.46,27000,7.46
8/28/2007,7.12,7.71,7.12,7.7,14000,7.7
8/29/2007,7.74,8,7.26,7.5,19000,7.5
8/30/2007,7.59,7.6,7.19,7.49,45700,7.49
8/31/2007,7.5,7.5,7,7.24,96600,7.24
