Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
1/9/2007,17.49,15.29,21.89,2/9/2007,-12.58
2/7/2007,18.91,15.63,25.47,2/9/2007,-17.35
4/13/2007,6.25,5.58,7.59,4/27/2007,-10.72
5/8/2007,5.95,5.39,7.07,5/14/2007,-9.41
5/29/2007,5.25,4.91,5.93,6/21/2007,12.95
7/3/2007,5.85,5.42,6.71,8/10/2007,14.7
7/26/2007,6.0,5.72,6.56,8/10/2007,9.33
8/10/2007,6.22,5.82,7.02,8/10/2007,12.86
8/21/2007,7.39,6.56,9.05,9/13/2007,-11.23
11/1/2007,5.66,4.91,7.16,11/6/2007,-13.25
11/30/2007,4.75,3.68,6.89,1/29/2008,-22.53
8/1/2008,2.83,1.96,4.57,9/11/2008,-30.74
10/21/2008,1.9,1.45,2.8,10/23/2008,-23.68
1/26/2009,1.05,0.65,1.85,4/16/2009,76.19
2/13/2009,1.55,1.05,2.55,12/16/2009,64.52
4/1/2009,1.54,1.3,2.02,5/13/2009,31.17
7/7/2009,1.71,1.29,2.55,12/16/2009,49.12
7/27/2009,1.75,1.3,2.65,12/16/2009,51.43
9/22/2009,1.96,1.38,3.12,12/16/2009,59.18
10/20/2009,2.01,1.52,2.99,11/5/2009,-24.38
11/20/2009,1.94,1.47,2.88,12/16/2009,48.45
12/11/2009,2.15,1.8,2.85,12/16/2009,32.56
1/7/2010,3.31,3.02,3.89,1/12/2010,-8.76
2/10/2010,2.41,2.15,2.93,2/25/2010,-10.79
3/16/2010,2.7,2.19,3.72,5/7/2010,-18.89
6/11/2010,2.28,2.17,2.5,6/11/2010,9.65
7/23/2010,2.54,2.0,3.62,12/22/2010,42.52
8/27/2010,2.55,2.35,2.95,9/17/2010,15.69
9/9/2010,2.78,2.55,3.24,11/8/2010,16.55
9/21/2010,2.82,2.68,3.1,9/29/2010,9.93
10/8/2010,2.99,2.86,3.25,10/8/2010,-4.35
12/21/2010,3.16,2.6,4.28,1/3/2011,35.44
1/12/2011,4.37,3.57,5.97,2/25/2011,36.61
2/11/2011,5.35,3.82,8.41,6/28/2011,57.2
3/2/2011,6.0,4.85,8.3,5/5/2011,-19.17
4/18/2011,6.9,5.7,9.3,4/29/2011,-17.39
6/10/2011,6.99,5.03,10.91,9/21/2011,-28.04
6/28/2011,7.39,5.67,10.83,8/9/2011,-23.27
7/13/2011,7.72,7.0,9.16,8/3/2011,-9.33
9/14/2011,6.1,5.26,7.78,9/21/2011,-13.77
10/25/2011,6.09,4.72,8.83,1/9/2012,44.99
11/29/2011,6.22,5.12,8.42,1/9/2012,35.37
12/23/2011,8.0,7.05,9.9,1/10/2012,23.75
1/17/2012,12.35,7.6,21.85,4/19/2012,-38.46
2/27/2012,10.64,8.47,14.98,4/19/2012,-20.39
3/15/2012,10.7,9.36,13.38,4/13/2012,-12.52
5/22/2012,7.18,5.78,9.98,8/9/2012,-19.5
6/22/2012,6.42,6.02,7.22,6/27/2012,-6.23
7/13/2012,6.36,5.92,7.24,8/9/2012,-6.92
8/8/2012,7.0,6.48,8.04,8/8/2012,-7.43
9/12/2012,7.9,6.42,10.86,9/27/2012,37.47
9/28/2012,10.44,8.05,15.22,11/12/2012,-22.89
10/19/2012,10.79,10.31,11.75,10/19/2012,-4.45
12/20/2012,8.47,7.29,10.83,4/11/2013,-13.93
1/9/2013,9.11,7.82,11.69,2/28/2013,-14.16
2/20/2013,9.94,9.07,11.68,2/21/2013,-8.75
5/23/2013,7.66,6.78,9.42,7/2/2013,-11.49
6/7/2013,8.37,7.32,10.47,7/2/2013,-12.54
7/2/2013,6.58,7.45,4.84,7/2/2013,-26.44
8/23/2013,6.79,6.54,7.29,8/26/2013,-3.68
9/16/2013,7.34,6.39,9.24,9/30/2013,-12.94
1/15/2014,3.74,3.22,4.78,2/3/2014,-13.9
2/28/2014,3.74,2.98,5.26,4/7/2014,-20.32
5/20/2014,2.77,2.45,3.41,6/9/2014,23.1
6/17/2014,7.55,2.65,17.35,n/a,0.0
8/14/2014,7.92,6.91,9.94,8/15/2014,25.51
9/9/2014,12.58,9.36,19.02,10/1/2014,-25.6
10/15/2014,9.75,9.38,10.49,10/16/2014,7.59
10/31/2014,12.2,11.13,14.34,11/4/2014,-8.77
11/19/2014,13.25,9.63,20.49,n/a,0.0
12/11/2014,13.46,12.15,16.08,12/22/2014,19.47
,,,,,
,,,,,
Winners:,29,,,,
Losers,40,,,,
Avg Pct Gain,3.8023188405797104,,,,
