Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2012-11-12,8.0,6.0,12.0,2013-01-03,50.0
2012-12-12,8.99,8.3,10.37,2012-12-18,15.35
2013-01-10,13.14,9.21,21.0,2013-02-11,-29.91
2013-02-25,9.59,9.12,10.53,2013-03-01,9.8
2013-05-03,14.0,12.5,17.0,2013-05-20,21.43
2013-05-16,15.11,13.2,18.93,2013-07-17,25.28
2013-06-10,16.76,14.55,21.18,2013-08-23,-13.19
2013-07-08,17.3,16.01,19.88,2013-07-31,-7.46
2013-07-23,19.23,17.4,22.89,2013-07-29,-9.52
2013-09-17,17.8,13.16,27.08,2013-12-20,52.13
2013-10-02,20.39,16.91,27.35,2013-12-20,34.13
2013-12-06,25.2,19.55,36.5,2014-09-03,44.84
2014-01-10,31.34,24.13,45.76,2014-05-05,-23.01
2014-02-24,32.06,27.81,40.56,2014-03-14,-13.26
2014-06-05,24.86,23.09,28.4,2014-06-17,14.24
2014-06-17,27.56,25.51,31.66,2014-06-24,14.88
2014-08-12,29.35,27.58,32.89,2014-08-25,12.06
2014-08-26,33.0,28.96,41.08,2014-09-23,24.48
2014-09-12,37.66,31.37,50.24,2014-11-11,33.4
2014-09-24,41.75,33.35,58.55,n/a,0.0
2014-10-29,41.44,38.0,48.32,2014-11-10,16.6
2014-11-18,49.59,44.23,60.31,n/a,0.0
2014-12-03,53.31,47.5,64.93,2014-12-09,-10.9
2014-12-31,52.8,47.2,64.0,n/a,0.0
,,,,,
,,,,,
Winners:,14,,,,
Losers,7,,,,
Avg Pct Gain,12.446190476190479,,,,
