Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-02-24,72.125,61.5,93.38,2000-03-07,-14.73
2000-03-23,58.125,51.0625,72.25,2000-04-17,-12.15
2000-05-05,55.875,50.0,67.63,2000-06-02,21.04
2000-06-14,66.25,57.0,84.75,2000-10-30,-13.96
2000-07-17,71.3125,66.5625,80.81,2000-07-28,-6.66
2000-09-01,76.5625,65.8125,98.06,2000-09-14,-14.04
2000-11-14,63.8125,59.0625,73.31,2000-12-15,-7.44
2000-12-06,67.125,61.6875,78.0,2000-12-15,-8.1
2000-12-29,66.875,61.0,78.63,2001-01-03,-8.79
2001-02-05,69.8125,59.375,90.69,2001-03-21,-14.95
2001-03-05,71.75,68.25,78.75,2001-03-08,-4.88
2001-04-26,58.7,50.31,75.48,2002-05-02,-14.29
2001-05-15,61.09,57.0,69.27,2001-06-04,13.39
2001-07-26,58.54,53.46,68.7,2001-12-06,17.36
2001-08-07,62.49,60.1,67.27,2001-08-09,-3.82
2001-08-31,64.29,58.3,76.27,2001-09-19,-9.32
2001-10-23,60.26,56.76,67.26,2001-10-24,-5.81
2001-12-03,65.89,56.18,85.31,2001-12-14,-14.74
2002-01-14,57.13,55.03,61.33,2002-01-17,-3.68
2002-02-21,58.44,55.8,63.72,2002-04-22,-4.52
2002-03-12,58.92,57.01,62.74,2002-03-19,6.48
2002-05-21,50.0,45.43,59.14,2002-06-03,-9.14
2002-06-26,39.08,36.73,43.78,2002-07-02,-6.01
2002-07-23,35.38,30.57,45.0,2002-07-30,27.19
2002-08-16,47.49,41.98,58.51,2002-09-19,-11.6
2002-09-17,45.9,42.83,52.04,2002-09-19,-6.69
2002-10-09,45.34,40.77,54.48,2003-02-21,20.16
2002-12-03,48.29,46.23,52.41,2002-12-19,8.53
2002-12-18,51.4,46.88,60.44,2003-04-21,17.59
2003-01-23,53.08,48.8,61.64,2003-04-23,16.13
2003-02-18,52.7,50.7,56.7,2003-03-13,7.59
2003-03-14,56.94,53.58,63.66,2003-04-23,11.8
2003-03-31,58.14,57.13,60.16,2003-04-07,3.47
2003-05-05,63.05,56.9,75.35,2003-12-11,-9.75
2003-06-05,64.5,62.9,67.7,2003-06-09,-2.48
2003-07-08,68.93,64.17,78.45,2003-09-29,-6.91
2003-07-18,70.9,69.18,74.34,2003-07-21,-2.43
2003-08-18,68.95,66.36,74.13,2003-08-25,-3.76
2003-09-12,68.11,66.1,72.13,2003-09-24,-2.95
2003-11-07,61.38,59.8,64.54,2003-11-07,-2.57
2003-11-25,59.72,58.05,63.06,2003-11-28,-2.8
2003-12-24,61.6,56.76,71.28,2004-04-22,-7.86
2004-01-30,64.93,61.1,72.59,2004-03-10,-5.9
2004-04-16,60.38,57.85,65.44,2004-04-21,-4.19
2004-06-09,55.53,53.63,59.33,2004-06-17,-3.42
2004-07-12,53.31,53.11,53.71,2004-07-12,0.75
2004-07-26,55.33,54.0,57.99,2004-08-06,-2.4
2004-09-02,59.54,54.05,70.52,2004-10-14,-9.22
2004-10-07,57.43,56.59,59.11,2004-10-07,-1.46
2004-11-12,59.99,54.84,70.29,2005-07-14,17.17
2004-12-03,62.28,58.99,68.86,2005-03-15,-5.28
2004-12-21,62.96,61.87,65.14,2005-01-13,3.46
2005-01-19,64.0,62.24,67.52,2005-01-24,-2.75
2005-02-14,63.39,61.66,66.85,2005-02-22,-2.73
2005-05-09,58.75,57.94,60.37,2005-05-10,2.76
2005-06-28,61.35,59.5,65.05,2005-07-07,6.03
2005-07-20,77.46,68.3,95.78,2006-04-19,-11.83
2005-08-31,80.13,78.09,84.21,2005-09-09,5.09
2005-09-16,84.1,81.12,90.06,2005-09-27,-3.54
2005-11-16,81.52,73.84,96.88,2006-01-23,-9.42
2006-01-05,79.91,77.21,85.31,2006-01-12,-3.38
2006-03-03,76.39,74.27,80.63,2006-03-06,-2.78
2006-05-15,68.1,65.14,74.02,2006-06-20,-4.35
2006-06-08,67.13,66.8,67.79,2006-06-08,0.98
2006-08-02,70.1,63.9,82.5,2007-02-27,-8.84
2006-09-05,68.83,66.59,73.31,2006-10-05,6.51
2006-09-27,70.54,67.25,77.12,2007-02-16,-4.66
2006-10-13,73.79,70.08,81.21,2006-12-01,-5.03
2006-11-01,76.0,74.73,78.54,2006-11-01,-1.67
2007-01-11,71.16,67.85,77.78,2007-02-16,-4.65
2007-04-24,62.05,56.3,73.55,2007-05-11,-9.27
2007-05-30,54.53,53.69,56.21,2007-05-31,3.08
2007-07-19,55.82,54.29,58.88,2007-07-31,-2.74
2007-08-30,49.5,48.8,50.9,2007-09-04,2.83
2007-09-20,55.28,50.67,64.5,2007-12-10,-8.34
2007-10-08,56.42,54.55,60.16,2007-11-09,-3.31
2007-12-05,54.91,52.57,59.59,2007-12-07,-4.26
