Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,50.25,50.25,48,48.4375,13705800,15.61121
2000-01-04,47.75,47.9375,44.9375,45.5625,27293400,14.68461
2000-01-05,45.0625,46.4375,44.5,46.0625,22855600,14.84576
2000-01-06,46.9375,50,46.75,50,17307000,16.1148
2000-01-07,49.625,49.625,48,48.6875,11632800,15.69179
2000-01-10,48.9375,48.9375,46.6875,47,11152800,15.14791
2000-01-11,45.5625,46.9375,45.5625,46,11064400,14.82562
2000-01-12,46,47.0625,46,46.5,11067600,14.98676
2000-01-13,47,47.875,46.875,47.5625,12322000,15.3292
2000-01-14,49.9375,50.5625,48.8125,50.5,20438600,16.27595
2000-01-18,50,50,47.8125,48,17116000,15.47021
2000-01-19,47.875,49.1875,46.6875,48,15468400,15.47021
2000-01-20,47.5,48,46,47.07812,12249000,15.17309
2000-01-21,46.5,46.6875,45.5625,45.6875,12839400,14.7249
2000-01-24,45.75,46.25,44.5,44.5625,12614800,14.36232
2000-01-25,44.9375,45.6875,44.6875,45.125,15631000,14.54361
2000-01-26,45.75,47.3125,45.375,47.125,15441200,15.1882
2000-01-27,47.5625,48.375,47.0625,48.125,12769400,15.51049
2000-01-28,47.875,47.875,45.75,45.75,13517000,14.74504
2000-01-31,46.5,48.4375,46.3125,48.4375,16910000,15.61121
2000-02-01,48.125,49,48,49,8965200,15.7925
2000-02-02,47.5,48.5,47.375,47.75,11717400,15.38963
2000-02-03,47.6875,48.0625,45.4375,46.4375,22798000,14.96662
2000-02-04,46.9375,47.125,45.3125,45.875,13400000,14.78533
2000-02-07,45.3125,45.5,44.875,45.3125,10364400,14.60404
2000-02-08,45.8125,47.25,45.6875,47.125,10821800,15.1882
2000-02-09,47.125,47.25,46.0625,46.0625,9294200,14.84576
2000-02-10,46.0625,46.5,44.6875,44.875,11579400,14.46303
2000-02-11,45,46.625,45,45.1875,13510400,14.56375
2000-02-14,45.6875,45.9375,44.0625,44.25,13426800,14.2616
2000-02-15,44.0625,46,44.0625,45.625,13834000,14.70475
2000-02-16,46.25,46.5,45.125,45.1875,11939600,14.56375
2000-02-17,45.4375,46.3125,44.3125,44.625,12256800,14.38246
2000-02-18,44.5625,44.6875,43.375,43.75,14998000,14.10045
2000-02-22,43.1875,45.875,43,44.75,13162800,14.42275
2000-02-23,45,46.625,44.4375,45.75,13732000,14.74504
2000-02-24,45.875,46.25,43.875,44.8125,11467800,14.44289
2000-02-25,44.75,45.8125,44.125,44.125,10603800,14.22131
2000-02-28,44.75,46.9375,44.5625,45.9375,13760000,14.80547
2000-02-29,45.9375,46.4375,45.0625,46,11792800,14.82562
2000-03-01,46,46.1875,44.8125,45.5625,9796600,14.84598
2000-03-02,45.5625,45.5625,44.625,45.0625,10613000,14.68306
2000-03-03,45.75,46.125,44.625,45,12825800,14.6627
2000-03-06,45,45.9375,44,44.5,9827800,14.49978
2000-03-07,45,45.1875,43.75,44,8911200,14.33686
2000-03-08,44,44.625,43.5625,43.625,8126400,14.21467
2000-03-09,43.625,44,42.8125,43.0625,13093600,14.03139
2000-03-10,42.9375,43.25,42.3125,42.875,12134400,13.97029
2000-03-13,42.875,44.0625,42.5,43.1875,10650800,14.07212
2000-03-14,43.5625,43.8125,42.5,42.625,8233200,13.88883
2000-03-15,42.875,46.0625,42.625,45.875,20421800,14.9478
2000-03-16,47,49.5,46.625,49.25,27207200,16.04751
2000-03-17,49.375,50.75,49,50,20839800,16.29189
2000-03-20,50,50.25,48.375,49.625,10749800,16.1697
2000-03-21,49.625,51.75,49.5,51,13791200,16.61772
2000-03-22,51.4375,51.9375,50.0625,51.4375,11186200,16.76028
2000-03-23,52.25,54.1875,51.125,54.1875,15425400,17.65633
2000-03-24,53.9375,55.1875,53.25,54.625,16576200,17.79889
2000-03-27,54.5,55,53.1875,54.125,10686800,17.63597
2000-03-28,52.625,54.6875,52.625,53.5625,10733000,17.45268
2000-03-29,53,53.125,51.875,52,11628600,16.94356
2000-03-30,52.25,52.4375,50.4375,50.8125,10390200,16.55663
2000-03-31,51,53.25,50.625,52.4375,10241800,17.08611
2000-04-03,52.0625,55.5625,52.0625,55.5,17099000,18.08399
2000-04-04,55.625,56.5625,53.3125,54.1875,18461600,17.65633
2000-04-05,53.9375,55.25,53.625,54,9186800,17.59524
2000-04-06,54.25,54.5625,53,53.4375,8071000,17.41195
2000-04-07,53.0625,53.8125,52,52.3125,7752800,17.04539
2000-04-10,52.3125,53.875,52.125,52.8125,10295200,17.2083
