Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-04-03,52.0625,48.375,59.44,2000-04-17,-7.08
2000-05-19,49.5625,46.3125,56.06,2000-05-24,13.11
2000-06-13,56.4375,53.875,61.56,2000-06-15,-4.54
2000-07-17,47.625,44.75,53.38,2000-08-09,12.08
2000-07-26,48.0,45.75,52.5,2000-08-04,9.38
2000-08-18,53.3125,50.75,58.44,2000-08-29,-4.81
2000-12-18,42.6875,36.3125,55.44,2001-01-30,29.87
2000-12-28,46.25,42.3125,54.13,2001-01-29,17.04
2001-01-10,46.75,45.0,50.25,2001-01-16,7.49
2001-01-26,51.25,47.625,58.5,2001-02-22,-7.07
2001-03-05,49.05,45.65,55.85,2001-04-19,13.86
2001-04-02,54.45,47.94,67.47,2002-03-07,23.91
2001-04-19,54.9,48.65,67.4,2002-03-07,22.77
2001-05-03,56.11,53.76,60.81,2001-05-11,-4.19
2001-05-23,58.05,53.45,67.25,2001-09-20,-7.92
2001-06-11,58.75,58.0,60.25,2001-06-12,-1.28
2001-06-28,60.3,57.14,66.62,2001-07-10,-5.24
2001-07-24,62.6,55.19,77.42,2001-09-17,-11.84
2001-08-24,64.82,62.26,69.94,2001-08-28,-3.95
2001-10-11,54.8,50.25,63.9,2001-11-08,16.61
2001-11-01,59.2,55.3,67.0,2002-03-06,13.18
2001-12-26,62.05,61.0,64.15,2002-01-04,3.38
2002-03-07,67.4,60.03,82.14,2002-07-22,-10.93
2002-03-18,68.62,66.75,72.36,2002-04-23,5.45
2002-04-15,70.05,67.8,74.55,2002-05-08,6.42
2002-04-29,71.5,69.58,75.34,2002-05-14,5.37
2002-05-24,76.45,72.2,84.95,2002-06-06,-5.56
2002-06-26,68.1,68.5,67.3,2002-06-26,-1.17
2002-08-20,69.5,66.5,75.5,2002-09-05,-4.32
2002-10-02,65.1,61.6,72.1,2002-10-03,-5.38
2002-10-31,70.65,67.5,76.95,2002-11-07,-4.46
2002-11-21,69.51,66.25,76.03,2003-03-11,-4.69
2003-01-03,70.1,67.9,74.5,2003-02-06,-3.14
2003-02-27,68.33,66.55,71.89,2003-03-11,-2.61
2003-03-26,69.43,64.26,79.77,2003-06-16,14.89
2003-04-10,70.55,66.82,78.01,2003-06-11,10.57
2003-05-13,74.51,72.38,78.77,2003-05-19,-2.86
2003-06-02,74.7,72.04,80.02,2003-07-02,7.12
2003-06-23,78.92,75.51,85.74,2003-09-10,-4.32
2003-10-09,80.75,77.54,87.17,2003-10-27,-3.98
2003-11-13,75.63,74.59,77.71,2003-11-14,-1.38
2003-12-10,76.4,73.72,81.76,2004-01-21,7.02
2004-02-06,82.0,80.99,84.02,2004-02-11,-1.23
2004-04-02,81.95,78.0,89.85,2004-05-10,-4.82
2004-05-03,80.23,79.75,81.19,2004-05-04,1.2
2004-05-27,83.0,79.24,90.52,2004-08-30,-4.53
2004-06-16,84.25,82.15,88.45,2004-08-20,4.99
2004-06-25,85.45,83.49,89.37,2004-08-06,-2.29
2004-07-19,84.8,83.53,87.34,2004-08-06,-1.5
2004-09-22,44.16,44.07,44.34,2004-09-22,0.41
2004-10-18,44.74,43.05,48.12,2004-10-25,-3.78
2004-11-10,46.13,42.94,52.51,2005-08-08,-6.92
2004-12-07,46.33,45.8,47.39,2004-12-07,-1.14
2005-01-24,45.15,44.4,46.65,2005-02-01,3.32
2005-02-07,46.68,45.35,49.34,2005-02-22,-2.85
2005-04-14,45.02,43.51,48.04,2005-04-21,-3.35
2005-05-13,45.5,44.2,48.1,2005-07-27,-2.86
2005-06-29,46.75,46.3,47.65,2005-06-30,-0.96
2005-07-22,44.73,44.3,45.59,2005-07-27,-0.96
2005-08-22,43.79,42.45,46.47,2005-09-21,-3.06
2005-11-03,44.25,41.57,49.61,2006-04-28,12.11
2005-11-30,46.49,44.89,49.69,2006-01-19,-3.44
2005-12-19,46.68,45.61,48.82,2006-01-17,-2.29
2006-02-24,44.94,43.3,48.22,2006-04-27,7.3
2006-03-14,46.0,44.91,48.18,2006-04-27,4.74
2006-08-03,51.87,47.59,60.43,2007-07-24,-8.25
2006-09-20,52.18,50.8,54.94,2006-11-14,5.29
2006-10-11,54.22,53.3,56.06,2006-10-17,-1.7
2006-10-26,53.99,52.75,56.47,2006-12-04,-2.3
2006-11-14,54.55,53.22,57.21,2006-12-01,-2.44
2006-12-27,53.88,51.32,59.0,2007-02-27,-4.75
2007-02-13,53.09,52.37,54.53,2007-02-27,-1.36
2007-03-28,51.44,49.35,55.62,2007-06-22,-4.06
2007-04-26,51.0,50.06,52.88,2007-06-07,-1.84
2007-06-20,50.7,49.65,52.8,2007-06-22,-2.07
2007-07-20,49.26,48.12,51.54,2007-07-20,-2.31
2007-08-14,48.6,46.52,52.76,2007-08-17,8.56
2007-09-24,51.24,49.37,54.98,2007-10-18,-3.65
2007-10-12,52.48,49.76,57.92,2007-10-17,-5.18
2007-12-07,46.0,41.82,54.36,2007-12-17,-9.09
