Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2006-01-30,26.35,19.91,39.23,2007-08-03,-24.44
2006-03-22,27.3,23.03,35.84,2006-05-03,31.28
2006-04-11,31.98,28.65,38.64,2006-06-12,-10.41
2006-04-27,34.35,31.02,41.01,2006-05-18,-9.69
2006-06-05,35.0,31.02,42.96,2006-06-07,-11.37
2006-07-07,30.11,24.32,41.69,2006-07-20,-19.23
2006-08-10,27.3,23.6,34.7,2006-09-22,-13.55
2006-08-30,29.45,26.75,34.85,2006-09-11,-9.17
2006-10-25,24.05,22.54,27.07,2006-11-16,-6.28
2006-12-05,25.73,22.11,32.97,2007-01-09,-14.07
2007-01-19,23.21,21.44,26.75,2007-04-27,15.25
2007-03-07,23.13,22.06,25.27,2007-04-12,9.25
2007-03-29,23.47,22.93,24.55,2007-04-10,4.6
2007-04-18,25.1,23.25,28.8,2007-07-12,-7.37
2007-06-12,27.57,25.51,31.69,2007-06-29,-7.47
2007-08-20,21.04,19.06,25.0,2007-11-01,-9.41
2007-09-10,21.11,20.22,22.89,2007-10-15,-4.22
2007-11-12,19.9,19.05,21.6,2007-11-12,-4.27
2007-11-29,19.32,18.58,20.8,2007-12-07,7.66
2007-12-19,21.07,19.05,25.11,2008-01-17,-9.59
2008-02-08,19.32,17.86,22.24,2008-02-27,15.11
2008-04-02,22.5,18.33,30.84,2008-06-06,37.07
2008-05-15,28.05,22.91,38.33,2008-09-09,-18.32
2008-06-09,30.0,27.7,34.6,2008-06-11,-7.67
2008-07-01,31.5,28.35,37.8,2008-07-07,-10.0
2008-08-13,25.73,23.92,29.35,2008-08-27,14.07
2008-08-26,27.5,25.31,31.88,2008-09-05,-7.96
2008-12-16,11.46,9.34,15.7,2009-01-15,-18.5
2009-03-27,7.31,5.3,11.33,2009-04-21,54.99
2009-04-09,8.0,6.15,11.7,2009-04-22,46.25
2009-04-30,10.77,9.67,12.97,2009-05-07,20.43
2009-07-24,6.34,5.78,7.46,2009-08-21,17.67
2009-08-10,7.09,6.12,9.03,2009-09-02,-13.68
2009-09-23,9.45,6.12,16.11,2010-12-06,70.48
2009-10-15,8.94,8.4,10.02,2009-10-26,-6.04
2009-11-12,7.27,6.36,9.09,2009-12-18,25.03
2009-12-11,7.31,6.6,8.73,2009-12-18,19.43
2010-01-12,9.67,8.83,11.35,2010-02-04,-8.69
2010-01-28,11.11,10.05,13.23,2010-01-29,-9.54
2010-02-22,10.21,8.21,14.21,2010-03-25,-19.59
2010-03-11,10.05,9.1,11.95,2010-03-18,-9.45
2010-04-15,9.7,7.59,13.92,2010-05-25,-21.75
2010-04-30,10.48,9.44,12.56,2010-05-05,-9.92
2010-06-21,8.99,7.05,12.87,2010-08-31,-21.58
2010-08-03,9.32,8.04,11.88,2010-08-12,-13.73
2010-09-21,8.3,7.03,10.84,2010-10-12,30.6
2010-10-21,11.76,7.99,19.3,2011-02-02,64.12
2010-11-05,12.06,10.75,14.68,2010-11-30,21.72
2010-11-18,13.7,11.72,17.66,2011-01-19,28.91
2010-12-10,15.95,12.93,21.99,2011-03-16,37.87
2010-12-29,16.77,14.01,22.29,2011-03-17,32.92
2011-01-24,16.25,14.32,20.11,2011-02-17,23.75
2011-02-28,19.51,17.97,22.59,2011-03-18,15.79
2011-03-14,19.45,18.59,21.17,2011-03-16,8.84
2011-04-11,26.3,23.37,32.16,2011-04-12,-11.14
2011-06-03,25.46,23.5,29.38,2011-06-28,15.4
2011-06-27,28.03,25.18,33.73,2011-07-05,20.34
2011-09-01,21.73,19.52,26.15,2011-09-06,-10.17
2011-10-11,16.02,12.53,23.0,2011-11-16,43.57
2011-11-03,18.35,15.53,23.99,2012-04-10,-15.37
2011-11-16,21.33,19.46,25.07,2011-11-21,-8.77
2011-12-09,18.46,17.85,19.68,2011-12-12,-3.3
2012-01-04,20.35,16.3,28.45,2012-01-23,-19.9
2012-02-15,18.48,17.46,20.52,2012-02-23,11.04
2012-07-05,10.78,8.52,15.3,2013-02-14,41.93
2012-08-10,12.28,9.34,18.16,2012-11-08,-23.94
2012-08-24,11.76,11.58,12.12,2012-08-24,-1.53
2012-09-20,12.67,10.46,17.09,2012-10-26,-17.44
2012-10-10,11.7,10.55,14.0,2012-10-26,-9.83
2012-12-12,11.34,8.85,16.32,2013-02-19,43.92
2012-12-27,11.45,10.15,14.05,2013-02-07,22.71
2013-01-30,12.94,11.41,16.0,2013-02-19,23.65
2013-02-14,14.34,12.64,17.74,2013-04-01,-11.85
2013-05-06,13.79,11.63,18.11,2013-07-30,-15.66
2013-05-28,13.7,12.9,15.3,2013-06-05,-5.84
2013-07-12,13.93,12.09,17.61,2013-07-26,-13.21
2013-09-20,12.94,11.29,16.24,2013-11-06,25.5
2013-10-23,13.04,12.07,14.98,2013-11-01,14.88
2013-11-11,16.65,14.22,21.51,2013-11-29,-14.59
2014-01-24,17.02,14.43,22.2,2014-02-20,30.43
2014-02-18,19.33,16.61,24.77,2014-03-17,28.14
2014-03-11,23.86,22.11,27.36,2014-03-28,14.67
2014-04-15,28.69,24.91,36.25,2014-05-15,-13.18
2014-05-13,26.06,25.18,27.82,2014-05-15,-3.38
2014-06-04,26.01,25.39,27.25,2014-06-09,4.77
2014-07-10,27.43,25.7,30.89,2014-07-25,-6.31
2014-08-14,24.93,23.34,28.11,2014-08-20,-6.38
2014-09-02,24.25,22.77,27.21,2014-09-08,-6.1
,,,,,
,,,,,
Winners:,38,,,,
Losers,50,,,,
Avg Pct Gain,4.763522727272727,,,,
