Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,2.9375,3,2.6875,2.6875,64700,2.54163
2000-01-04,2.6875,2.8125,2.625,2.625,72900,2.48252
2000-01-05,2.625,2.9375,2.625,2.875,61100,2.71895
2000-01-06,2.875,3.0625,2.8125,3.0625,143800,2.89627
2000-01-07,3.0625,3.0625,2.8125,2.8125,189500,2.65984
2000-01-10,2.875,2.875,2.625,2.75,102800,2.60073
2000-01-11,2.6875,2.75,2.625,2.6875,104100,2.54163
2000-01-12,2.5625,2.625,2.4375,2.5625,198100,2.42341
2000-01-13,2.5,2.6875,2.5,2.625,62700,2.48252
2000-01-14,2.5625,2.6875,2.5625,2.625,63900,2.48252
2000-01-18,2.625,3.0625,2.625,3,227000,2.83716
2000-01-19,3,3.1875,2.9375,3.0625,230800,2.89627
2000-01-20,3.1875,3.3125,3,3,106200,2.83716
2000-01-21,3,3.5,3,3.5,189800,3.31002
2000-01-24,3.625,3.6875,3.3125,3.4375,134600,3.25092
2000-01-25,3.5,3.5,3.25,3.3125,33500,3.1327
2000-01-26,3.375,3.5,3.25,3.3125,52200,3.1327
2000-01-27,3.25,3.3125,3.0625,3.1875,65700,3.01449
2000-01-28,3.125,3.3125,3.125,3.25,59200,3.07359
2000-01-31,3.25,3.3125,3.1875,3.25,196300,3.07359
2000-02-01,3.25,3.375,3.25,3.3125,88600,3.1327
2000-02-02,3.25,3.375,3.25,3.375,28600,3.19181
2000-02-03,3.3125,3.5,3.3125,3.4375,54000,3.25092
2000-02-04,3.5,3.5625,3.1875,3.3125,150700,3.1327
2000-02-07,3.1875,3.3125,3.125,3.25,91100,3.07359
2000-02-08,3.25,3.5,3.25,3.25,109800,3.07359
2000-02-09,3.3125,3.375,3.125,3.125,62200,2.95538
2000-02-10,3.1875,3.1875,2.875,3,155100,2.83716
2000-02-11,3.0625,3.125,3.0625,3.0625,42900,2.89627
2000-02-14,3.125,3.125,3,3.125,56600,2.95538
2000-02-15,3.0625,3.5,3.0625,3.4375,193700,3.25092
2000-02-16,3.5,3.9375,3.5,3.875,454000,3.66467
2000-02-17,3.875,4.1875,3.875,4.125,243900,3.9011
2000-02-18,4.25,4.25,3.875,4,169400,3.78288
2000-02-22,3.9375,3.9375,3.8125,3.8125,74700,3.60556
2000-02-23,3.75,3.8125,3.5,3.5625,87100,3.36913
2000-02-24,3.6875,3.6875,3.5,3.5625,58900,3.36913
2000-02-25,3.5,3.5625,3.375,3.5,72600,3.31002
2000-02-28,3.625,3.75,3.5625,3.75,43300,3.54645
2000-02-29,3.625,4.25,3.5625,4.1875,174600,3.96021
2000-03-01,4.1875,4.3125,4.125,4.3125,138900,4.07842
2000-03-02,4.25,4.25,4,4.125,65000,3.9011
2000-03-03,4,4.25,3.875,4.25,141300,4.01931
2000-03-06,4.125,4.25,4.0625,4.1875,112800,3.96021
2000-03-07,4.25,5.1875,4.25,5,413800,4.72861
2000-03-08,5,5.125,4.5,4.875,322100,4.61039
2000-03-09,4.75,4.875,4.625,4.75,101900,4.49218
2000-03-10,4.5625,4.875,4.5,4.8125,76700,4.55128
2000-03-13,4.5,5.125,4.5,4.9375,268200,4.6695
2000-03-14,5,5,4.625,4.75,118800,4.49218
2000-03-15,4.625,4.75,4.5625,4.75,41700,4.49218
2000-03-16,4.625,4.6875,4.5,4.625,88200,4.37396
2000-03-17,4.5625,5.1875,4.5625,5.0625,219800,4.78771
2000-03-20,5.0625,5.1875,4.875,5,214400,4.72861
2000-03-21,5,5.3125,5,5.0625,200100,4.78771
2000-03-22,5.125,5.375,5.0625,5.3125,136900,5.02414
