Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-02-29,3.625,2.875,5.13,2000-03-07,41.52
2000-03-20,5.0625,3.875,7.44,2000-05-16,46.96
2000-05-08,6.375,4.0625,11.0,2000-09-07,72.55
2000-05-19,6.875,5.875,8.88,2000-06-27,29.16
2000-06-22,8.1875,7.125,10.31,2000-07-20,-12.98
2000-08-18,9.0,6.8125,13.38,2000-12-26,48.67
2000-09-12,11.125,9.5625,14.25,2000-11-29,-14.04
2000-10-19,11.5625,10.5,13.69,2000-10-25,-9.19
2000-11-09,10.875,10.0625,12.5,2000-11-29,-7.47
2000-12-22,11.875,9.0,17.63,2001-06-22,-24.21
2001-02-21,10.95,10.65,11.55,2001-02-21,-2.74
2001-03-15,11.2,9.65,14.3,2001-04-03,-13.84
2001-05-04,10.0,9.6,10.8,2001-05-09,8.0
2001-07-06,9.4,9.2,9.8,2001-07-09,-2.13
2001-08-23,7.5,6.89,8.72,2001-09-19,-8.13
2001-09-17,7.55,6.97,8.71,2001-09-19,-7.68
2001-11-01,7.65,5.25,12.45,2003-05-15,62.75
2002-01-10,7.2,5.8,10.0,2002-02-11,-19.44
2002-03-05,6.15,5.73,6.99,2002-03-07,13.66
2002-03-27,7.78,7.1,9.14,2002-04-18,17.48
2002-04-25,9.01,7.5,12.03,2002-06-05,-16.76
2002-08-28,7.31,5.76,10.41,2003-02-25,42.41
2002-10-09,7.15,6.0,9.45,2002-12-06,32.17
2002-10-23,7.95,6.71,10.43,2003-02-25,31.19
2002-11-06,8.38,7.11,10.92,2003-04-17,30.31
2002-11-29,8.4,8.1,9.0,2002-12-03,7.14
2003-01-06,9.7,8.7,11.7,2003-05-12,20.62
2003-03-03,9.99,8.95,12.07,2003-05-14,20.82
2003-03-14,10.45,10.0,11.35,2003-03-17,-4.31
2003-04-17,10.65,9.4,13.15,2003-05-28,23.47
2003-05-22,12.34,11.02,14.98,2003-08-29,21.39
2003-06-05,13.65,12.86,15.23,2003-06-17,-5.79
2003-08-19,13.96,12.1,17.68,2003-12-02,26.65
2003-10-09,14.45,12.94,17.47,2003-12-02,20.9
2003-11-06,15.7,13.9,19.3,2003-12-12,22.93
2003-11-28,16.3,15.6,17.7,2003-12-02,8.59
2003-12-12,18.63,16.95,21.99,2004-02-02,-9.02
2003-12-26,19.53,19.0,20.59,2004-01-15,-2.71
2004-02-18,19.6,16.69,25.42,2004-08-24,-14.85
2004-04-08,20.51,19.43,22.67,2004-04-16,10.53
2004-04-23,22.45,19.81,27.73,2004-05-06,-11.76
2004-06-01,18.95,17.84,21.17,2004-08-03,11.72
2004-06-22,20.0,18.69,22.62,2004-08-05,-6.55
2004-07-01,19.56,19.07,20.54,2004-07-06,-2.51
