Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2007-01-12,10.0,9.43,11.14,2007-01-18,-5.7
2007-02-09,11.5,9.6,15.3,2007-03-14,-16.52
2007-02-27,11.88,10.3,15.04,2007-03-01,-13.3
2007-05-15,10.66,9.83,12.32,2007-05-16,-7.79
2007-06-14,9.95,9.3,11.25,2007-07-16,13.07
2007-07-20,10.43,9.55,12.19,2007-07-24,-8.44
2007-10-02,10.9,7.08,18.54,2007-11-19,70.09
2007-10-15,11.0,9.61,13.78,2007-10-18,-12.64
2007-11-26,16.2,9.99,28.62,2007-12-19,76.67
2007-12-10,22.99,14.45,40.07,2008-05-13,74.29
2007-12-24,28.15,21.0,42.45,2008-01-15,-25.4
2008-01-30,19.25,14.74,28.27,2008-04-17,46.86
2008-02-27,19.2,17.32,22.96,2008-03-06,19.58
2008-04-02,22.44,16.31,34.7,2008-05-13,54.63
2008-05-21,46.86,26.15,88.28,2008-07-24,-44.2
2008-06-06,40.0,36.55,46.9,2008-06-09,-8.63
2008-07-17,35.37,30.18,45.75,2008-07-18,-14.67
2008-08-15,29.3,25.65,36.6,2008-09-05,-12.46
2008-08-26,32.3,26.87,43.16,2008-09-04,-16.81
2008-09-25,24.22,20.5,31.66,2008-09-29,-15.36
2008-10-20,12.01,9.61,16.81,2008-10-23,-19.98
2008-11-10,9.0,7.52,11.96,2008-11-11,-16.44
2008-12-16,5.63,4.57,7.75,2009-01-21,-18.83
2009-01-06,7.08,5.78,9.68,2009-01-12,-18.36
2009-04-02,7.35,3.25,15.55,2009-06-04,111.56
2009-05-11,8.4,5.46,14.28,2009-06-01,70.0
2009-06-05,15.84,8.82,29.88,2009-12-22,88.64
2009-07-24,15.11,9.21,26.91,2009-12-21,78.09
2009-08-19,15.45,13.81,18.73,2009-09-01,-10.61
2009-09-16,16.8,13.16,24.08,2009-12-14,43.33
2009-10-20,16.7,15.2,19.7,2009-10-27,-8.98
2009-11-12,16.97,14.31,22.29,2009-11-23,31.35
2009-12-08,23.5,19.25,32.0,2010-01-05,36.17
2009-12-21,26.8,22.24,35.92,2010-01-22,-17.01
2010-01-11,33.19,27.82,43.93,2010-01-14,-16.18
2010-03-11,21.48,19.01,26.42,2010-04-21,-11.5
2010-03-29,22.58,21.01,25.72,2010-04-07,13.91
2010-04-14,24.6,23.45,26.9,2010-04-15,-4.67
2010-05-04,17.46,16.84,18.7,2010-05-04,-3.55
2010-06-29,10.27,8.99,12.83,2010-07-14,24.93
2010-07-14,11.98,9.28,17.38,2010-10-14,45.08
2010-07-27,13.93,12.11,17.57,2010-07-30,-13.07
2010-09-07,12.1,10.56,15.18,2010-09-30,25.45
2010-10-07,15.61,12.3,22.23,2010-12-29,-21.2
2010-11-16,14.22,13.34,15.98,2010-11-17,-6.19
2011-01-11,14.1,12.11,18.08,2011-03-10,-14.11
2011-01-25,14.99,13.55,17.87,2011-02-10,-9.61
2011-02-25,15.97,13.51,20.89,2011-03-04,-15.4
2011-06-08,9.75,8.25,12.75,2011-08-03,-15.38
2011-07-01,11.52,9.56,15.44,2011-07-12,-17.01
2011-10-28,3.54,3.0,4.62,2011-11-03,-15.25
2012-01-18,3.35,2.7,4.65,2012-02-09,38.81
2012-02-03,3.88,3.03,5.58,2012-03-07,-21.91
2012-02-14,4.1,3.59,5.12,2012-02-15,-12.44
2012-03-27,3.34,3.17,3.68,2012-03-28,-5.09
2012-04-17,3.71,3.05,5.03,2012-05-17,-17.79
2012-06-01,2.88,2.67,3.3,2012-06-07,14.58
2012-06-25,3.75,3.17,4.91,2012-07-25,-15.47
2012-08-15,2.69,2.47,3.13,2012-08-28,16.36
2012-11-09,2.65,2.48,2.99,2012-11-14,-6.42
2012-12-05,2.63,1.95,3.99,2013-01-09,51.71
2012-12-19,3.1,2.56,4.18,2013-01-09,34.84
2012-12-31,3.27,3.13,3.55,2013-01-02,8.56
2013-01-18,4.56,3.56,6.56,2013-03-11,-21.93
2013-02-12,4.9,4.32,6.06,2013-02-21,-11.84
2013-04-17,3.77,3.16,4.99,2013-04-26,32.36
2013-05-10,5.65,4.0,8.95,2013-05-20,58.41
2013-05-28,10.26,6.9,16.98,2013-09-30,65.5
2013-06-17,9.57,8.4,11.91,2013-06-24,-12.23
2013-07-12,10.77,8.3,15.71,2013-08-05,45.87
2013-09-26,15.36,13.93,18.22,2013-10-02,18.62
2013-10-30,24.28,16.76,39.32,2014-01-07,61.94
2013-11-11,28.93,22.02,42.75,2014-01-16,47.77
2013-11-19,30.84,27.83,36.86,2013-11-26,-9.76
2013-12-27,29.56,28.35,31.98,2014-01-02,8.19
2014-01-23,41.53,35.4,53.79,2014-02-03,-14.76
2014-03-05,41.28,36.11,51.62,2014-03-10,-12.52
2014-03-26,34.2,32.09,38.42,2014-03-26,-6.17
2014-06-27,29.65,23.48,41.99,2014-08-01,-20.81
2014-08-22,34.5,24.75,54.0,2014-11-28,-28.26
2014-09-12,38.82,34.03,48.4,2014-10-01,-12.34
2014-09-24,38.35,36.19,42.67,2014-09-30,-5.63
2014-11-07,30.08,28.26,33.72,2014-11-12,-6.05
,,,,,
,,,,,
Winners:,32,,,,
Losers,51,,,,
Avg Pct Gain,8.560843373493977,,,,
