Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2005-10-05,9.5,9.0,10.5,2005-10-05,10.53
2006-05-18,8.43,7.25,10.79,2006-08-15,-14.0
2006-06-07,7.76,7.45,8.38,2006-06-08,7.99
2006-10-06,8.0,6.5,11.0,2007-03-12,-18.75
2006-10-27,8.1,7.0,10.3,2007-03-06,-13.58
2006-11-20,8.7,7.6,10.9,2006-12-26,-12.64
2006-12-05,8.89,8.35,9.97,2006-12-08,-6.07
2007-04-13,6.08,3.52,11.2,2007-06-21,-42.11
2007-05-15,4.75,3.75,6.75,2007-06-04,-21.05
2007-07-25,3.71,3.65,3.83,2007-07-27,3.23
2007-09-24,3.99,3.55,4.87,2007-10-10,22.06
2007-10-16,4.65,3.68,6.59,2008-01-07,-20.86
2008-02-07,4.4,3.25,6.7,2008-03-14,-26.14
2008-04-22,2.9,2.52,3.66,2008-06-09,-13.1
2008-12-31,1.0,0.93,1.14,2008-12-31,14.0
2009-03-18,1.5,0.8,2.9,2009-04-03,93.33
2009-04-17,2.99,1.5,5.97,2009-06-16,-49.83
2009-05-29,1.87,1.72,2.17,2009-06-01,16.04
2009-07-30,1.99,1.3,3.37,2009-11-20,-34.67
2009-10-01,1.45,1.4,1.55,2009-10-02,-3.45
2009-10-30,1.44,1.31,1.7,2009-11-18,-9.03
2010-01-21,1.3,1.0,1.9,2010-02-16,-23.08
2010-03-03,1.2,1.11,1.38,2010-03-04,-7.5
2010-03-12,1.31,1.1,1.73,2010-03-12,-16.03
2010-07-14,0.97,0.9,1.11,2010-07-20,-7.22
2010-12-30,1.03,0.75,1.59,2011-01-07,54.37
2011-01-24,4.0,2.3,7.4,2011-03-11,-42.5
2011-02-09,3.25,2.6,4.55,2011-03-10,-20.0
2011-04-15,2.98,2.29,4.36,2011-04-27,46.31
2011-04-27,5.0,2.96,9.08,2011-05-02,81.6
2011-07-08,7.84,5.25,13.02,2011-08-08,-33.04
2011-09-08,6.62,5.05,9.76,2011-09-22,-23.72
2012-02-02,4.65,3.29,7.37,2012-02-28,-29.25
2012-06-18,3.21,2.29,5.05,2012-11-28,-28.66
2012-09-06,3.46,3.11,4.16,2012-09-25,20.23
2012-09-24,3.42,3.34,3.58,2012-09-24,-2.34
2012-12-07,2.36,2.14,2.8,2012-12-24,-9.32
2013-01-10,2.6,2.1,3.6,2013-10-09,-19.23
2013-02-25,2.84,2.46,3.6,2013-02-28,-13.38
2013-05-15,2.46,2.25,2.88,2013-05-15,17.07
2013-05-28,3.12,2.6,4.16,2013-06-06,-16.67
2013-09-03,2.48,2.2,3.04,2013-10-09,-11.29
2014-01-06,1.5,1.35,1.8,2014-01-08,20.0
2014-02-20,1.75,1.37,2.51,2014-04-07,-21.71
2014-07-03,1.02,1.0,1.06,2014-07-07,3.92
2014-09-09,0.67,0.6,0.81,2014-09-15,-10.45
2014-11-03,0.54,0.34,0.94,2014-11-12,-37.04
2014-12-10,0.4,0.32,0.56,n/a,0.0
,,,,,
,,,,,
Winners:,14,,,,
Losers,33,,,,
Avg Pct Gain,-5.25595744680851,,,,
