Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2004-12-02,45.55,44.72,47.21,2004-12-02,-1.82
2004-12-27,44.29,43.58,45.71,2004-12-29,-1.6
2005-01-31,42.21,42.1,42.43,2005-01-31,-0.26
2005-02-18,42.71,41.02,46.09,2005-09-19,7.91
2005-03-17,43.97,43.26,45.39,2005-03-21,-1.61
2005-04-14,42.45,42.46,42.43,2005-04-14,-0.05
2005-06-13,42.82,41.33,45.8,2005-09-16,6.96
2005-06-23,43.84,42.58,46.36,2005-07-05,-2.87
2005-07-28,42.46,41.81,43.76,2005-08-04,3.06
2005-08-17,44.26,43.17,46.44,2005-08-30,-2.46
2005-09-15,45.24,42.81,50.1,2005-12-01,10.74
2005-10-07,46.99,45.66,49.65,2005-11-01,-2.83
2005-11-28,49.3,45.32,57.26,2006-02-02,16.15
2005-12-20,50.35,49.06,52.93,2005-12-20,-2.56
2006-01-09,53.46,50.92,58.54,2006-03-30,9.5
2006-01-30,55.97,54.01,59.89,2006-02-13,-3.5
2006-02-07,55.88,56.08,55.48,2006-02-07,-0.72
2006-03-01,56.02,54.55,58.96,2006-03-07,-2.62
2006-03-20,55.01,53.15,58.73,2006-04-03,6.76
2006-04-04,58.44,54.24,66.84,2006-05-03,14.37
2006-04-18,61.25,58.22,67.31,2006-05-04,9.89
2006-05-10,69.27,60.44,86.93,2006-06-08,-12.75
2006-06-27,58.71,56.15,63.83,2006-07-11,8.72
2006-07-12,64.65,57.35,79.25,2006-09-14,-11.29
2006-08-07,64.47,62.44,68.53,2006-08-11,-3.15
2006-10-03,57.93,57.78,58.23,2006-10-03,-0.26
2006-10-16,58.93,56.48,63.83,2006-11-30,8.31
2006-11-02,61.47,56.87,70.67,2007-09-11,14.97
2006-11-17,61.4,60.87,62.46,2006-11-21,1.73
2007-01-31,63.99,63.37,65.23,2007-02-01,1.94
2007-02-20,66.1,63.8,70.7,2007-03-02,-3.48
2007-04-02,65.74,64.9,67.42,2007-04-10,2.56
2007-04-16,68.14,66.46,71.5,2007-05-02,-2.47
2007-04-26,67.43,67.25,67.79,2007-04-26,-0.27
2007-07-13,66.08,63.88,70.48,2007-08-16,-3.33
2007-09-12,70.5,65.63,80.24,2007-11-05,13.82
2007-10-24,74.84,72.1,80.32,2007-11-06,7.32
2007-11-15,79.18,76.89,83.76,2007-11-19,-2.89
2007-12-19,79.23,77.8,82.09,2007-12-27,3.61
2008-01-08,86.28,81.98,94.88,2008-02-27,9.97
2008-02-01,91.75,85.77,103.71,2008-04-29,-6.52
2008-02-27,94.56,88.63,106.42,2008-04-01,-6.27
2008-03-10,95.0,94.39,96.22,2008-03-10,1.28
2008-04-15,91.73,89.72,95.75,2008-04-18,-2.19
2008-05-27,89.84,84.92,99.68,2008-06-12,-5.48
2008-06-19,89.37,84.83,98.45,2008-08-08,-5.08
2008-07-10,92.4,86.13,104.94,2008-08-05,-6.79
2008-08-27,81.89,76.61,92.45,2008-09-09,-6.45
2008-11-28,80.04,72.0,96.12,2009-02-18,20.09
2008-12-16,82.38,72.91,101.32,2009-10-06,22.99
2009-01-05,83.62,81.59,87.68,2009-01-12,-2.43
2009-02-02,89.88,82.98,103.68,2009-10-08,15.35
2009-02-18,95.23,87.6,110.49,2009-03-10,-8.01
2009-03-26,92.72,86.83,104.5,2009-04-06,-6.35
2009-04-16,87.38,86.1,89.94,2009-04-16,-1.46
2009-05-12,90.4,86.54,98.12,2009-09-08,8.54
2009-05-28,94.14,90.14,102.14,2009-06-22,-4.25
2009-07-02,91.47,89.95,94.51,2009-07-08,-1.66
2009-07-20,93.61,88.82,103.19,2009-10-08,10.23
2009-08-13,93.85,90.81,99.93,2009-09-16,6.48
2009-09-02,94.7,91.64,100.82,2009-10-06,6.46
2009-09-11,98.96,96.0,104.88,2009-11-03,5.98
2009-09-23,99.16,97.56,102.36,2009-09-24,-1.61
2009-10-06,101.33,96.95,110.09,2009-11-16,8.65
2009-11-12,109.16,101.48,124.52,2010-09-14,14.07
2009-11-27,113.08,110.76,117.72,2009-12-01,4.1
2010-01-12,112.38,106.4,124.34,2010-01-22,-5.32
2010-02-19,109.32,104.11,119.74,2010-05-11,9.53
2010-03-08,111.22,106.6,120.46,2010-03-24,-4.15
2010-04-01,109.97,106.24,117.43,2010-05-06,6.78
2010-04-29,113.85,110.76,120.03,2010-05-11,5.43
2010-05-18,118.86,113.31,129.96,2010-07-27,-4.67
2010-06-14,119.63,117.05,124.79,2010-07-01,-2.16
2010-07-01,120.91,119.77,123.19,2010-07-01,-0.94
2010-07-14,118.26,116.1,122.58,2010-07-16,-1.83
2010-08-09,117.76,113.08,127.12,2010-09-28,7.95
2010-08-31,121.77,118.71,127.89,2010-09-28,5.03
2010-09-13,121.63,121.15,122.59,2010-09-14,0.79
2010-09-30,128.14999,124.16,136.13,2010-11-04,6.23
2010-10-19,130.46001,129.50999,132.36,2010-10-21,-0.73
2010-11-05,135.14,128.78999,147.84,2011-01-27,-4.7
2010-11-30,135.21001,131.00999,143.61,2011-01-21,-3.11
2011-01-03,138.67,133.92999,148.15,2011-01-05,-3.42
2011-02-07,131.67,127.8,139.41,2011-03-01,5.88
2011-02-28,137.64999,133.45,146.05,2011-04-18,6.1
2011-03-10,138.5,137.57001,140.36,2011-03-10,-0.67
2011-04-14,142.35001,137.72,151.61,2011-04-29,6.51
2011-05-31,149.88,144.86,159.92,2011-07-01,-3.35
2011-06-10,149.03999,148.07001,150.98,2011-06-13,-0.65
2011-07-11,151.33,143.97,166.05,2011-08-08,9.73
2011-07-28,157.53999,154.10001,164.42,2011-08-08,4.37
2011-08-16,172.60001,156.78,204.24,2011-09-26,-9.17
2011-10-17,164.0,155.27,181.46,2011-12-14,-5.32
2011-11-03,171.17,156.05,201.41,2011-12-14,-8.83
2012-01-11,159.34,148.27,181.48,2013-04-12,-6.95
2012-01-20,160.5,158.00999,165.48,2012-01-25,3.1
2012-02-02,169.96001,160.28999,189.3,2012-03-14,-5.69
2012-02-29,173.19,166.17,187.23,2012-02-29,-4.05
2012-04-02,161.96001,158.13,169.62,2012-04-04,-2.36
2012-05-02,160.74001,157.75999,166.7,2012-05-08,-1.85
2012-06-12,155.49001,148.53,169.41,2012-09-13,8.95
2012-07-05,155.44,150.14999,166.02,2012-09-07,6.81
2012-08-01,155.17999,152.2,161.14,2012-08-23,3.84
2012-09-05,164.12,158.50999,175.34,2012-12-20,-3.42
2012-09-19,171.88,166.3,183.04,2012-10-19,-3.25
2012-11-15,167.0,162.3,176.4,2012-12-18,-2.81
2013-01-15,162.8,159.89999,168.6,2013-02-11,-1.78
2013-03-22,155.45,153.00999,160.33,2013-04-02,-1.57
2013-05-03,141.7,135.85001,153.4,2013-05-15,-4.13
