Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-01-20,75.375,68.25,89.63,2000-03-16,18.91
2000-02-01,82.43749,72.1875,102.94,2000-04-28,-12.43
2000-02-14,82.24999,80.25,86.25,2000-02-14,-2.43
2000-03-07,83.4375,74.625,101.06,2000-04-24,-10.56
2000-03-22,90.62501,77.12501,117.63,2000-04-14,-14.9
2000-05-19,74.625,68.12501,87.62,2000-06-12,-8.71
2000-06-08,77.68751,69.375,94.31,2000-06-12,-10.7
2000-07-10,50.1875,45.625,59.31,2000-09-20,-9.09
2000-08-15,53.0,50.0,59.0,2000-09-13,-5.66
2000-10-30,42.8125,37.9375,52.56,2000-11-21,-11.39
2000-12-11,40.25,36.875,47.0,2000-12-28,16.77
2000-12-22,45.4375,41.375,53.56,2001-01-04,17.88
2001-01-11,51.125,43.1875,67.0,2001-03-19,-15.53
2001-02-05,54.51,51.75,60.03,2001-02-08,-5.06
2001-04-17,45.05,39.5,56.15,2001-08-29,-12.32
2001-05-03,48.6,46.02,53.76,2001-06-07,-5.31
2001-05-25,49.25,46.6,54.55,2001-06-06,-5.38
2001-07-27,42.8,40.6,47.2,2001-08-21,-5.14
2001-10-10,32.7,31.7,34.7,2001-10-17,6.12
2001-10-23,35.9,31.85,44.0,2002-01-29,-11.28
2001-11-20,39.85,37.25,45.05,2001-11-28,-6.52
2002-01-10,38.4,35.68,43.84,2002-01-18,-7.08
2002-04-29,35.4,33.1,40.0,2002-06-07,-6.5
2002-05-14,36.9,34.24,42.22,2002-06-04,-7.21
2002-06-26,30.75,31.25,29.75,2002-06-26,-3.25
2002-08-16,24.79,23.18,28.01,2002-09-09,-6.49
2002-09-03,25.65,25.4,26.15,2002-09-03,-0.97
2002-10-22,19.98,18.0,23.94,2002-11-21,19.82
2002-10-31,21.05,19.51,24.13,2002-11-21,14.63
2002-11-29,25.4,21.63,32.94,2003-02-12,-14.84
2003-01-10,26.85,23.61,33.33,2003-01-24,-12.07
2003-02-06,22.67,22.7,22.61,2003-02-06,-0.26
2003-02-25,22.0,20.86,24.28,2003-03-11,-5.18
2003-03-26,23.9,20.13,31.44,2003-05-16,31.55
2003-04-10,25.73,23.65,29.89,2003-05-02,16.17
2003-05-13,30.94,28.69,35.44,2003-06-06,14.54
2003-06-06,35.77,29.93,47.45,2006-09-20,32.65
2003-07-08,35.07,33.05,39.11,2003-08-04,-5.76
2003-07-21,35.1,34.72,35.86,2003-07-21,-1.08
2003-09-24,35.5,33.16,40.18,2004-01-22,13.18
2003-10-14,36.5,33.86,41.78,2004-03-02,14.47
2004-01-07,37.5,35.19,42.12,2004-03-03,12.32
2004-01-28,40.0,38.7,42.6,2004-01-29,-3.25
2004-02-12,40.22,38.61,43.44,2004-03-05,8.01
2004-03-17,41.69,39.95,45.17,2004-04-14,-4.17
2004-04-13,41.64,40.54,43.84,2004-04-13,-2.64
2004-06-03,37.15,34.75,41.95,2005-03-28,-6.46
