Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2007-12-11,9.46,7.8,12.78,2007-12-18,-17.55
2008-02-07,9.3,6.25,15.4,2008-05-12,65.59
2008-02-22,9.52,9.02,10.52,2008-02-28,-5.25
2008-03-25,10.68,8.8,14.44,2008-04-28,35.21
2008-04-18,12.25,10.02,16.71,2008-05-15,36.41
2008-05-21,16.42,11.77,25.72,2008-08-19,-28.32
2008-06-20,14.85,12.61,19.33,2008-07-07,-15.08
2008-07-23,14.66,12.64,18.7,2008-08-13,-13.78
2008-09-09,15.3,11.78,22.34,2008-10-01,-23.01
2008-09-26,12.82,12.36,13.74,2008-09-29,7.18
2008-10-20,9.87,8.75,12.11,2008-10-24,-11.35
2008-11-17,9.59,7.87,13.03,2008-11-21,-17.94
2008-12-11,10.62,8.91,14.04,2008-12-12,-16.1
2009-02-11,10.0,9.27,11.46,2009-02-18,-7.3
2009-03-19,11.0,7.02,18.96,2009-08-05,72.36
2009-04-09,13.3,10.36,19.18,2009-08-05,44.21
2009-04-27,15.16,12.86,19.76,2009-05-13,-15.17
2009-06-08,15.02,13.92,17.22,2009-06-16,-7.32
2009-07-02,15.18,13.79,17.96,2009-08-05,18.31
2009-07-21,16.64,14.86,20.2,2009-08-05,21.39
2009-08-19,20.12,16.32,27.72,2009-12-15,37.77
2009-10-14,22.75,20.92,26.41,2009-10-28,-8.04
2009-11-16,25.41,20.42,35.39,2010-08-19,-19.64
2009-12-11,26.05,23.21,31.73,2010-01-22,-10.9
2010-03-15,24.17,21.85,28.81,2010-04-14,19.2
2010-03-26,26.72,24.5,31.16,2010-04-23,16.62
2010-04-12,27.96,26.0,31.88,2010-04-23,14.02
2010-04-21,29.45,27.01,34.33,2010-05-06,-8.29
2010-05-19,29.1,26.66,33.98,2010-05-21,-8.38
2010-06-04,29.6,26.86,35.08,2010-06-08,-9.26
2010-07-30,24.36,21.25,30.58,2010-08-12,-12.77
2010-09-13,22.79,20.0,28.37,2011-02-01,24.48
2010-09-27,24.5,22.55,28.4,2010-11-04,-7.96
2010-10-19,24.36,24.16,24.76,2010-10-19,-0.82
2010-11-24,22.69,21.09,25.89,2010-12-06,14.1
2010-12-16,23.87,22.63,26.35,2011-01-05,10.39
2011-01-11,25.95,24.33,29.19,2011-02-23,-6.24
2011-02-02,28.53,25.73,34.13,2011-02-23,-9.81
2011-03-23,23.69,22.27,26.53,2011-04-14,-5.99
2011-05-11,26.12,22.97,32.42,2011-06-10,-12.06
2011-07-05,26.03,23.31,31.47,2011-07-07,-10.45
2011-09-21,15.97,14.0,19.91,2011-10-04,-12.34
2011-10-17,16.5,13.82,21.86,2012-01-25,32.48
2011-11-14,17.2,14.24,23.12,2012-03-07,34.42
2011-12-12,16.99,15.22,20.53,2012-01-18,20.84
2011-12-30,17.67,15.51,21.99,2012-01-26,24.45
2012-01-24,20.46,18.62,24.14,2012-03-09,17.99
2012-02-10,22.3,21.18,24.54,2012-02-14,-5.02
2012-03-06,22.0,18.65,28.7,2012-04-27,30.45
2012-03-30,25.27,23.55,28.71,2012-04-10,-6.81
2012-05-08,27.9,23.06,37.58,2012-07-25,34.7
2012-06-18,30.19,26.52,37.53,2012-07-25,24.31
2012-07-06,32.38,30.1,36.94,2012-07-25,14.08
2012-07-18,33.39,32.1,35.97,2012-07-25,7.73
2012-08-06,42.15,32.4,61.65,2013-02-12,46.26
2012-08-28,46.32,42.92,53.12,2012-09-14,14.68
2012-09-10,49.05,46.41,54.33,2012-10-24,10.76
2012-09-20,51.15,48.08,57.29,2012-10-02,-6.0
2012-10-11,49.62,47.31,54.24,2012-10-24,9.31
2012-11-01,56.14,48.63,71.16,2012-12-11,-13.38
2013-01-07,53.33,49.73,60.53,2013-02-08,13.5
2013-01-25,57.92,53.97,65.82,2013-02-26,-6.82
2013-03-11,66.54,53.73,92.16,2013-07-24,38.5
2013-04-01,70.25,65.31,80.13,2013-04-05,-7.03
2013-05-10,85.65,79.47,98.01,2013-06-03,-7.22
2013-07-12,84.8,77.78,98.84,2013-08-20,16.56
2013-07-25,91.89,84.03,107.61,2013-09-10,17.11
2013-08-30,101.65,94.0,116.95,2013-10-24,15.05
2013-09-20,113.83,106.13,129.23,2013-09-27,-6.76
2013-10-18,107.0,99.4,122.2,2013-11-25,-7.1
2013-10-29,114.63,106.33,131.23,2013-11-22,-7.24
2013-11-21,115.2,109.32,126.96,2013-11-22,-5.1
2013-12-31,101.78,88.36,128.62,2014-01-31,-13.19
2014-02-10,96.23,86.26,116.17,2014-04-11,-10.36
2014-03-05,109.14,93.65,140.12,2014-03-26,-14.19
2014-05-09,81.67,78.92,87.17,2014-05-30,-3.37
2014-08-14,55.25,52.76,60.23,2014-09-17,9.01
2014-09-08,57.8,55.28,62.84,2014-09-23,-4.36
2014-11-17,54.98,52.0,60.94,2014-11-21,10.84
2014-11-28,62.57,52.98,81.75,n/a,0.0
2014-12-30,64.96,58.42,78.04,n/a,0.0
,,,,,
,,,,,
Winners:,36,,,,
Losers,43,,,,
Avg Pct Gain,5.508860759493669,,,,
