Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.5625,23.9375,23.1875,23.4375,7386600,2.36069
2000-01-04,23.25,24.25,23.25,23.625,10538200,2.37957
2000-01-05,23.8125,24.0625,23.4375,23.5,11697300,2.36698
2000-01-06,23.5,23.6875,23,23.0625,7152800,2.32292
2000-01-07,23.25,23.8125,23.125,23.6875,7972100,2.38587
2000-01-10,23.75,24.0625,23.75,24,7711300,2.41735
2000-01-11,24.125,24.625,24.0625,24.125,7451400,2.42994
2000-01-12,24.25,24.5625,24,24.25,9609400,2.44253
2000-01-13,24.5,24.5625,24.25,24.5,6263900,2.46771
2000-01-14,24.5625,24.625,23.75,24.25,7813300,2.44253
2000-01-18,24.0625,24.1875,23,23,7998600,2.31662
2000-01-19,23.125,23.5,23,23.375,8731100,2.35439
2000-01-20,23.375,23.375,22.0625,22.57812,9977700,2.27413
2000-01-21,22.1875,22.5,21.8125,22,13976300,2.2159
2000-01-24,22.75,23,21.875,22,15344200,2.2159
2000-01-25,22,22.875,21.375,21.9375,11046800,2.2096
2000-01-26,21.75,21.8125,20.875,21.0625,18969200,2.12147
2000-01-27,21.5,21.875,20.8125,21,14734700,2.11518
2000-01-28,21.125,21.3125,20.75,20.75,12021300,2.09
2000-01-31,20.9375,21.125,20.84375,20.875,11594900,2.10259
2000-02-01,21.125,21.125,20.75,21,13301800,2.11518
2000-02-02,20.9375,21.10938,20.5625,20.625,13933200,2.07741
2000-02-03,20.9375,21.4375,20.875,21,20018200,2.11518
2000-02-04,21.125,21.125,20.375,20.625,16675500,2.07741
2000-02-07,20.875,20.9375,20.375,20.5625,12752400,2.07111
2000-02-08,20.25,20.3125,19.125,19.5,26653500,1.96409
2000-02-09,19.4375,20,19.4375,19.625,18374200,1.97668
2000-02-10,20,20.3125,19.8125,19.875,15253200,2.00186
2000-02-11,19.9375,20.125,19.0625,19.0625,15365500,1.92003
2000-02-14,19.3125,19.4375,18.75,18.9375,21123700,1.90744
2000-02-15,19.0625,19.125,18.6875,19.125,15218000,1.92632
2000-02-16,19.0625,19.25,18.8125,19,13799900,1.91373
2000-02-17,19.875,20,19.3125,19.5,16060300,1.96409
2000-02-18,19.5,19.875,19.375,19.625,11121500,1.97668
2000-02-22,19.9375,21.1875,19.875,20.875,17008800,2.10259
2000-02-23,21.25,21.6875,20.1875,20.3125,14797000,2.04593
2000-02-24,20.5,20.5625,19.75,20.0625,12097700,2.02075
2000-02-25,20.125,20.1875,19.625,19.625,11480500,1.97668
2000-02-28,19.8125,20.3125,19.8125,20.0625,10884600,2.02075
2000-02-29,20.0625,20.4375,20.0625,20.1875,13524800,2.03334
2000-03-01,20.1875,21.5,19.625,20.4375,21707100,2.05852
2000-03-02,20.4375,20.8125,20,20.125,11165200,2.02705
2000-03-03,20,20.625,19.75,20.3125,13358800,2.04593
2000-03-06,20.75,20.875,19.5625,19.875,13047100,2.00186
2000-03-07,19.875,20,19.5,19.5625,12009900,1.97039
2000-03-08,19.625,19.75,19.1875,19.25,11810100,1.93891
2000-03-09,19.25,19.5,19.125,19.5,8739200,1.96409
2000-03-10,19.375,19.4375,19.0625,19.0625,10848100,1.92003
2000-03-13,19.25,20,19.125,19.875,10914000,2.00186
2000-03-14,19.8125,19.8125,19.25,19.46875,11983600,1.96095
2000-03-15,19.3125,20.375,19.25,20.125,13071300,2.02705
2000-03-16,20.125,20.5,20.0625,20.25,13253000,2.08947
2000-03-17,20.375,20.375,19.5,20.25,16220400,2.08947
2000-03-20,19.875,20.25,19.8125,19.9375,14039000,2.05723
2000-03-21,19.5,22.125,19,20.3125,34490700,2.09592
2000-03-22,20.3125,20.5625,19.3125,19.4375,16078100,2.00563
2000-03-23,19.5,19.6875,19.3125,19.5,13839800,2.01208
2000-03-24,19.5625,19.875,19.5,19.8125,10308500,2.04433
2000-03-27,19.8125,19.875,19.5,19.60938,8924600,2.02337
2000-03-28,19.5,19.75,19.3125,19.5625,12453400,2.01853
2000-03-29,19.5625,19.625,19.125,19.125,11687300,1.97339
2000-03-30,20,21.5625,19.73438,21.5,27460700,2.21845
2000-03-31,21.9375,22.0625,20.75,20.75,15234000,2.14106
2000-04-03,21.75,23,21.5,22.8125,16940200,2.35388
2000-04-04,23,23.75,21.1875,22.1875,17620000,2.28939
2000-04-05,22.0625,22.5625,22,22.375,10017900,2.30874
2000-04-06,22.8125,23.5625,22.5,22.9375,16373400,2.36678
2000-04-07,23.25,23.625,21.9375,22.5,24520100,2.32163
2000-04-10,22,22.25,21,22,14618200,2.27004
2000-04-11,21.75,21.9375,21.5,21.75,7584900,2.24425
2000-04-12,21.875,22.625,21.6875,21.875,9034400,2.25714
2000-04-13,22,22.5625,21.8125,22.3125,7523800,2.30229
2000-04-14,21.875,22.5625,20.9375,21.125,12374300,2.17976
2000-04-17,21,21.3125,20.375,21.25,12204000,2.19266
2000-04-18,21.1875,21.375,20.4375,20.6875,8273300,2.13461
2000-04-19,21.125,21.4375,20.5625,20.8125,6850900,2.14751
2000-04-20,20.8125,21.5625,20.8125,21.375,6405400,2.20555
2000-04-24,21.25,22,21.125,21.5625,10140100,2.2249
2000-04-25,21.1875,22.3125,21.0625,22,15395900,2.27004
2000-04-26,22,22.4375,21.8125,22.3125,9686300,2.30229
2000-04-27,22.0625,22.3125,21.875,22,12650800,2.27004
2000-04-28,22,22.0625,21.1875,21.875,11423000,2.25714
2000-05-01,22,23.625,22,23.5625,13061100,2.43127
