Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-01-14,24.5625,23.0,27.69,2000-01-18,-6.36
2000-04-12,21.875,19.125,27.38,2000-05-16,25.17
2000-05-15,25.1875,21.1875,33.19,2000-08-16,31.77
2000-06-30,27.0,23.0625,34.88,2000-07-14,-14.58
2000-08-14,31.25,24.75,44.25,2000-12-20,41.6
2000-10-18,32.0,29.875,36.25,2000-10-26,13.28
2000-12-06,38.0,34.1875,45.63,2001-01-02,20.08
2001-02-12,48.0,43.0,58.0,2001-03-22,-10.42
2001-02-28,48.38,45.55,54.04,2001-03-20,-5.85
2001-04-23,47.74,45.06,53.1,2001-05-04,11.23
2001-05-10,51.4,47.47,59.26,2001-06-07,-7.65
2001-08-31,47.94,43.05,57.72,2002-06-03,20.4
2002-01-04,46.39,45.02,49.13,2002-01-15,5.91
2002-02-04,49.85,47.92,53.71,2002-02-25,7.74
2002-03-01,52.52,49.15,59.26,2002-06-24,-6.42
2002-04-17,53.11,52.0,55.33,2002-04-29,4.18
2002-05-07,56.37,54.25,60.61,2002-05-15,-3.76
2002-08-06,48.5,41.13,63.24,2002-09-25,-15.2
2002-08-23,48.97,47.03,52.85,2002-08-26,-3.96
2002-10-18,40.3,35.4,50.1,2003-03-12,-12.16
2002-12-23,41.42,39.05,46.16,2003-01-06,-5.72
2003-01-17,41.72,37.77,49.62,2003-01-29,-9.47
2003-04-22,32.3,29.5,37.9,2003-05-21,17.34
2003-05-21,34.97,30.84,43.23,2003-06-04,23.62
2003-06-11,43.38,41.0,48.14,2003-06-13,-5.49
2003-07-03,46.95,42.89,55.07,2003-07-09,-8.65
2003-08-01,40.41,39.12,42.99,2003-08-15,-3.19
2003-09-09,41.58,39.4,45.94,2003-10-28,10.49
2003-09-22,44.4,40.15,52.9,2003-12-08,19.14
2003-10-24,45.32,44.19,47.58,2003-11-06,4.99
2003-11-19,49.75,46.42,56.41,2004-02-23,13.39
2003-12-18,54.0,51.2,59.6,2004-05-12,-5.19
2004-01-22,53.99,52.7,56.57,2004-02-23,4.78
2004-03-08,58.3,54.38,66.14,2004-03-12,-6.72
2004-04-15,55.58,54.78,57.18,2004-04-20,2.88
2004-07-06,49.49,47.8,52.87,2004-07-22,-3.41
2004-09-02,49.43,48.26,51.77,2004-09-17,-2.37
2004-10-18,46.72,46.64,46.88,2004-10-18,0.34
2004-11-12,54.58,45.88,71.98,2005-09-08,31.88
