Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-03-20,98.75,91.0,114.25,2000-03-24,15.7
2000-06-27,79.25,66.125,105.5,2000-09-14,-16.56
2000-08-16,71.875,68.125,79.38,2000-09-11,-5.22
2000-10-26,61.0,48.4375,86.13,2000-12-15,-20.59
2001-01-10,51.0,42.875,67.25,2001-04-19,31.86
2001-01-25,62.75,51.125,86.0,2001-03-21,-18.53
2001-03-05,57.25,53.875,64.0,2001-03-12,-5.9
2001-04-03,55.3125,49.75,66.44,2001-04-19,20.12
2001-04-25,67.57,59.35,84.01,2001-08-22,-12.17
2001-05-08,71.75,66.21,82.83,2001-06-18,-7.72
2001-06-04,70.55,67.25,77.15,2001-06-15,-4.68
2001-10-09,57.5,48.0,76.5,2002-07-15,-16.52
2001-10-22,57.9,54.55,64.6,2001-11-06,11.57
2001-11-14,68.23,58.1,88.49,2002-02-21,-14.85
2001-12-11,67.66,62.73,77.52,2002-01-29,-7.29
2001-12-24,67.72,65.93,71.3,2002-01-02,-2.64
2002-01-10,68.48,65.51,74.42,2002-01-18,-4.34
2002-05-15,54.49,48.35,66.77,2002-07-15,-11.27
2002-06-18,55.53,49.17,68.25,2002-07-15,-11.45
2002-08-15,49.96,43.8,62.28,2002-09-30,-12.33
2002-09-17,48.67,45.88,54.25,2002-09-23,-5.73
2002-10-21,51.97,43.25,69.41,2003-02-18,-16.78
2002-11-05,55.78,50.85,65.64,2003-01-24,-8.84
2002-11-29,58.43,54.31,66.67,2002-12-06,-7.05
2003-01-10,55.1,51.26,62.78,2003-01-22,-6.97
2003-03-27,24.94,22.55,29.72,2003-09-19,19.17
2003-04-29,25.95,25.03,27.79,2003-05-19,-3.55
2003-05-12,26.15,25.25,27.95,2003-05-19,-3.44
2003-06-25,25.64,23.6,29.72,2003-09-19,15.91
2003-07-14,27.63,25.39,32.11,2003-11-17,-8.11
2003-08-28,26.5,25.43,28.64,2003-09-05,8.08
2003-10-02,28.45,27.45,30.45,2003-10-24,-3.51
2003-12-10,26.45,25.32,28.71,2004-01-23,8.54
2004-01-15,27.55,26.97,28.71,2004-01-23,4.21
2004-04-05,25.81,24.01,29.41,2004-07-21,13.95
2004-04-23,27.4,25.06,32.08,2005-03-11,-8.54
2004-05-24,26.05,25.42,27.31,2004-06-15,4.84
2004-06-24,28.48,25.86,33.72,2005-01-18,-9.2
2004-07-27,28.7,27.25,31.6,2004-08-06,-5.05
2004-09-08,27.3,26.85,28.2,2004-09-13,-1.65
2004-10-14,28.04,27.04,30.04,2004-11-11,7.13
2004-12-21,27.0,26.1,28.8,2005-01-14,-3.33
2005-02-07,26.27,25.85,27.11,2005-02-11,-1.6
2005-04-14,25.01,23.94,27.15,2005-08-03,8.56
2005-05-13,25.03,24.44,26.21,2005-07-19,4.71
2005-06-03,25.7,25.5,26.1,2005-06-03,-0.78
2005-07-26,25.72,24.5,28.16,2005-10-10,-4.74
2005-09-07,26.94,26.81,27.2,2005-09-08,-0.48
2005-10-31,25.61,24.57,27.69,2005-11-16,8.12
2005-11-23,27.92,26.64,30.48,2005-12-22,-4.58
2006-01-20,27.01,26.59,27.85,2006-01-20,-1.55
2006-03-07,26.9,26.52,27.66,2006-03-17,2.83
2006-04-17,27.03,26.81,27.47,2006-04-17,-0.81
2006-06-05,22.72,22.45,23.26,2006-06-06,-1.19
2006-07-07,23.39,22.5,25.17,2006-07-13,-3.81
2006-08-03,24.19,23.77,25.03,2006-08-18,3.47
2006-08-28,25.84,24.2,29.12,2006-11-08,12.69
2006-09-26,26.91,25.39,29.95,2006-11-20,11.3
2006-10-13,28.34,27.15,30.72,2007-01-11,8.4
2006-11-06,28.77,28.04,30.23,2006-12-15,5.07
2006-11-30,29.42,29.07,30.12,2006-12-01,-1.19
2006-12-21,30.13,28.8,32.79,2007-02-16,-4.41
2007-01-24,30.78,29.43,33.48,2007-02-05,-4.39
2007-03-30,27.75,26.6,30.05,2007-04-27,8.29
2007-04-23,28.96,27.99,30.9,2007-05-03,6.7
2007-05-08,30.68,29.9,32.24,2007-06-07,-2.54
2007-05-22,30.9,30.53,31.64,2007-05-24,-1.2
2007-07-24,31.01,29.04,34.95,2007-07-30,-6.35
2007-09-07,28.62,27.82,30.22,2007-10-09,5.59
2007-10-02,29.7,28.27,32.56,2007-10-26,9.63
2007-10-15,30.1,29.6,31.1,2007-10-17,3.32
2007-12-20,35.29,32.63,40.61,2008-01-16,-7.54
2008-03-25,29.33,27.28,33.43,2008-06-03,-6.99
2008-05-01,28.5,27.93,29.64,2008-05-05,4.0
2008-06-26,28.03,27.11,29.87,2008-07-01,-3.28
2008-08-14,27.82,25.07,33.32,2008-09-17,-9.88
2009-01-09,20.17,18.64,23.23,2009-01-15,-7.59
2009-02-12,18.97,17.0,22.91,2009-02-24,-10.38
2009-03-17,16.32,14.87,19.22,2009-04-01,17.77
2009-04-08,18.97,17.27,22.37,2009-06-10,17.92
2009-04-30,20.6,18.47,24.86,2009-07-22,20.68
2009-06-10,22.17,19.45,27.61,2009-10-23,24.54
2009-06-25,23.43,23.17,23.95,2009-06-29,2.22
2009-07-28,22.99,22.14,24.69,2009-08-24,7.39
2009-08-31,24.57,23.23,27.25,2009-10-23,10.91
2009-09-29,25.91,24.64,28.45,2009-10-02,-4.9
2009-10-22,26.56,25.52,28.64,2009-10-23,7.83
2009-11-24,29.95,28.2,33.45,2010-01-29,-5.84
2009-12-21,30.4,29.25,32.7,2010-01-22,-3.78
2010-02-25,28.27,27.58,29.65,2010-03-17,4.88
2010-03-17,29.5,28.27,31.96,2010-05-06,-4.17
2010-04-20,31.22,30.13,33.4,2010-05-04,-3.49
2010-06-21,26.78,24.77,30.8,2010-06-25,-7.51
2010-08-03,26.2,24.7,29.2,2010-08-11,-5.73
2010-09-30,24.61,23.79,26.25,2010-10-04,-3.33
2010-10-21,25.4,24.43,27.34,2010-11-02,7.64
2010-12-08,26.83,24.93,30.63,2011-03-16,-7.08
2010-12-29,27.94,27.68,28.46,2010-12-31,-0.93
2011-01-12,28.12,27.77,28.82,2011-01-26,2.49
2011-01-26,28.51,27.91,29.71,2011-01-28,-2.1
2011-03-31,25.6,25.18,26.44,2011-04-14,-1.64
2011-04-27,26.3,24.72,29.46,2011-05-16,-6.01
