Date,Open,High,Low,Close,Volume,Adj Close
2002-05-23,16.19,17.4,16.04,16.75,14970000,8.375
2002-05-24,17,17.15,16.76,16.94,1586400,8.47
2002-05-28,16.99,17.25,16.2,16.2,944200,8.1
2002-05-29,16.3,16.3,15.2,15.45,965400,7.725
2002-05-30,15.51,15.51,15,15,1450600,7.5
2002-05-31,15.1,15.1,15,15.07,1209200,7.535
2002-06-03,15.12,16.09,15.07,15.8,450200,7.9
2002-06-04,15.9,15.96,15.55,15.65,443600,7.825
2002-06-05,15.55,16.23,15.5,16.06,218800,8.03
2002-06-06,16.1,17.25,16.08,16.55,329400,8.275
2002-06-07,16.49,16.49,15.45,15.66,195600,7.83
2002-06-10,15.89,16.45,15.88,16.19,69200,8.095
2002-06-11,16.19,16.64,15.8,16.15,143400,8.075
2002-06-12,16.15,16.55,15.25,15.3,257000,7.65
2002-06-13,15.46,15.71,15.12,15.16,366800,7.58
2002-06-14,15.15,15.2,13.72,13.81,683400,6.905
2002-06-17,14.19,14.83,12.85,12.91,693600,6.455
2002-06-18,13.14,13.15,11.79,12.75,1544000,6.375
2002-06-19,12.76,13.95,12.5,13.32,783200,6.66
2002-06-20,13.6,14.56,13.3,13.4,873000,6.7
2002-06-21,13.75,13.85,13.27,13.71,335200,6.855
2002-06-24,13.71,14.2,13.4,13.7,366800,6.85
2002-06-25,13.84,14.1,13.26,13.5,563000,6.75
2002-06-26,13.49,13.95,12.9,13.84,417800,6.92
2002-06-27,14.13,14.26,13.2,13.21,545400,6.605
2002-06-28,13.45,14.19,13.45,13.99,1319200,6.995
2002-07-01,14,14.65,13.9,14.39,655000,7.195
2002-07-02,14.75,16.73,14.55,16.42,1288600,8.21
2002-07-03,16.5,17,15.65,17,708200,8.5
2002-07-05,17,18.19,16.99,17.87,286200,8.935
2002-07-08,17.53,17.53,16.35,16.46,279000,8.23
2002-07-09,16.45,16.75,15.6,16.25,419400,8.125
2002-07-10,16.26,16.5,15.85,16.29,222000,8.145
2002-07-11,16.16,17.9,15.86,17.77,361400,8.885
2002-07-12,17.9,17.92,16.9,16.91,405400,8.455
2002-07-15,17.4,17.48,15.07,16,605600,8
2002-07-16,16.14,16.2,15.46,15.77,277400,7.885
2002-07-17,16.03,16.29,15.06,15.25,180200,7.625
2002-07-18,15.64,16.33,15.55,16.09,414200,8.045
2002-07-19,16.14,16.25,15.71,16.24,256000,8.12
2002-07-22,15.9,16.51,15.61,16.39,284800,8.195
2002-07-23,16.47,16.99,15.83,16.05,225400,8.025
2002-07-24,16.05,16.23,15.04,15.6,479400,7.8
2002-07-25,15.75,15.79,14.49,14.51,679400,7.255
2002-07-26,14.7,14.82,11.9,12.2,1006600,6.1
2002-07-29,12.55,12.94,11.9,12.27,465800,6.135
2002-07-30,12.51,13.2,12.51,12.8,539600,6.4
2002-07-31,13,13.44,12.68,13.35,476200,6.675
2002-08-01,13.3,13.44,12.29,12.48,647000,6.24
2002-08-02,12.41,12.43,9.89,10.89,950800,5.445
2002-08-05,10.9,11.38,10.65,10.85,544000,5.425
2002-08-06,11.14,11.25,10.4,10.65,459600,5.325
2002-08-07,10.65,11.11,10.4,11.11,394000,5.555
2002-08-08,11.15,11.25,10.51,11.15,326200,5.575
2002-08-09,11.18,11.5,10.9,11.02,214400,5.51
2002-08-12,11.24,11.3,10.55,10.6,304400,5.3
2002-08-13,10.75,11.27,10.56,10.82,239600,5.41
2002-08-14,10.86,11.67,10.8,11.67,578200,5.835
2002-08-15,11.72,12.75,11.66,12.36,466200,6.18
