Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2002-07-11,16.16,12.9,22.68,2002-07-26,-20.17
2002-08-23,13.91,10.55,20.63,2002-09-19,-24.16
2002-10-28,9.3,6.2,15.5,2003-02-20,66.67
2002-11-21,10.2,7.75,15.1,2003-02-19,48.04
2002-12-10,11.2,9.75,14.1,2002-12-26,-12.95
2003-01-31,12.68,11.71,14.62,2003-02-06,-7.65
2003-02-27,14.82,11.54,21.38,2003-03-27,44.26
2003-03-26,19.4,14.9,28.4,2003-07-07,46.39
2003-04-17,20.65,19.1,23.75,2003-04-21,15.01
2003-07-03,26.9,21.21,38.28,2003-09-22,42.3
2003-08-20,25.71,22.6,31.93,2003-08-27,24.19
2003-09-08,34.22,27.25,48.16,2003-10-14,40.74
2003-09-19,36.5,32.07,45.36,2003-09-29,-12.14
2003-10-17,51.45,39.35,75.65,2004-01-22,47.04
2003-11-04,58.05,50.1,73.95,2003-11-06,-13.7
2003-12-08,47.25,44.2,53.35,2003-12-16,-6.46
2004-01-06,55.25,43.05,79.65,2004-02-12,-22.08
2004-02-02,74.2,63.5,95.6,2004-02-12,-14.42
2004-04-16,32.57,34.81,28.09,2004-04-16,-13.75
2004-05-19,31.59,26.08,42.61,2004-07-16,-17.44
2004-06-03,32.4,30.5,36.2,2004-06-14,-5.86
2004-07-08,32.49,28.35,40.77,2004-07-16,-12.74
2004-09-27,16.49,14.77,19.93,2004-10-15,-10.43
2004-10-08,17.3,14.93,22.04,2004-10-15,-13.7
2004-11-12,10.68,9.35,13.34,2004-12-15,24.91
2005-04-07,11.04,8.91,15.3,2005-05-18,38.59
2005-05-19,18.93,11.32,34.15,2008-02-28,80.4
2005-06-13,16.7,14.2,21.7,2005-08-08,29.94
2005-07-29,19.04,16.25,24.62,2005-09-09,29.31
2005-09-02,21.89,20.91,23.85,2005-09-08,8.95
2005-09-30,24.58,22.5,28.74,2005-10-10,16.92
2005-10-17,28.8,25.36,35.68,2005-10-26,-11.94
2005-11-11,29.55,25.43,37.79,2005-12-12,-13.94
2006-01-03,27.06,24.97,31.24,2006-01-04,-7.72
2006-01-17,25.31,24.5,26.93,2006-01-20,-3.2
2006-01-31,27.55,23.09,36.47,2006-07-18,-16.19
2006-03-30,29.11,24.88,37.57,2006-07-11,-14.53
2006-04-26,31.63,27.66,39.57,2006-05-19,-12.55
2006-06-02,28.5,26.82,31.86,2006-06-06,-5.89
2006-06-27,27.76,26.54,30.2,2006-06-28,-4.39
2006-09-13,21.5,19.9,24.7,2006-10-23,14.88
2006-10-03,22.81,21.7,25.03,2006-10-23,9.73
2006-10-30,27.67,21.95,39.11,2007-01-22,-20.67
2006-11-17,29.27,26.2,35.41,2006-12-19,-10.49
2007-01-31,22.78,21.3,25.74,2007-03-05,-6.5
2007-02-16,22.52,22.16,23.24,2007-02-20,3.2
2007-04-02,23.3,20.77,28.36,2007-06-12,-10.86
2007-05-03,22.03,21.36,23.37,2007-05-16,-3.04
2007-05-29,22.06,21.22,23.74,2007-06-05,-3.81
2007-08-13,18.0,16.5,21.0,2007-09-25,16.67
2007-09-12,17.6,16.92,18.96,2007-09-18,7.73
2007-10-03,21.02,18.74,25.58,2007-10-23,21.69
2007-10-26,25.55,22.1,32.45,2007-11-21,-13.5
2008-01-04,26.04,22.97,32.18,2008-01-08,-11.79
2008-02-07,25.61,21.12,34.59,2008-03-18,35.06
2008-03-04,30.56,25.78,40.12,2008-04-17,31.28
2008-03-17,32.81,30.15,38.13,2008-03-24,16.21
2008-05-15,30.23,29.73,31.23,2008-05-15,-1.65
2008-06-11,30.55,29.81,32.03,2008-06-13,4.84
2008-08-05,30.29,26.67,37.53,2008-10-06,-11.95
2008-08-15,32.03,29.65,36.79,2008-09-04,-7.43
2008-09-04,30.64,29.84,32.24,2008-09-04,-2.61
2008-09-26,32.26,27.47,41.84,2008-10-06,-14.85
2008-11-17,22.09,17.9,30.47,2009-01-02,37.94
2008-12-03,22.62,18.23,31.4,2009-01-05,38.82
2009-01-12,32.21,26.82,42.99,2009-03-23,33.47
2009-02-09,36.84,29.11,52.3,2009-10-23,41.97
2009-02-20,36.63,34.81,40.27,2009-03-02,-4.97
2009-03-16,39.68,34.01,51.02,2009-10-23,28.58
2009-04-17,48.1,42.57,59.16,2009-04-24,-11.5
2009-05-26,38.6,36.25,43.3,2009-07-14,12.18
2009-06-10,39.57,37.68,43.35,2009-06-10,-4.78
2009-07-20,44.51,37.93,57.67,2009-11-10,29.57
2009-09-30,46.81,41.88,56.67,2009-10-23,21.06
2009-10-26,55.76,45.94,75.4,2010-03-30,35.22
2009-11-17,59.63,52.6,73.69,2010-01-05,-11.79
2010-02-03,61.85,48.52,88.51,2010-04-14,43.1
2010-02-19,65.85,59.28,78.99,2010-04-05,19.95
2010-03-05,68.25,63.1,78.55,2010-04-05,15.09
2010-03-24,72.93,69.16,80.47,2010-04-06,10.34
2010-04-09,81.09,73.62,96.03,2010-04-22,18.42
2010-04-30,103.85,82.77,146.01,2010-09-08,40.6
2010-05-18,105.39,90.0,136.17,2010-08-16,29.21
2010-06-04,109.88,90.81,148.02,2010-09-09,34.71
2010-06-18,125.93,107.25,163.29,2010-07-01,-14.83
2010-07-13,121.42,106.29,151.68,2010-07-22,-12.46
2010-08-23,130.5,98.73,194.04,2010-11-29,48.69
