Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2010-07-29,17.17,15.41,20.69,2010-10-05,20.5
2010-08-18,17.34,16.84,18.34,2010-08-25,-2.88
2010-10-14,22.4,17.32,32.56,2011-02-01,45.36
2010-11-12,24.8,20.51,33.38,2011-02-24,34.6
2010-12-13,27.51,24.24,34.05,2011-02-28,23.77
2011-01-06,27.53,26.53,29.53,2011-01-06,-3.63
2011-02-08,31.91,26.62,42.49,2011-05-05,-16.58
2011-02-22,32.06,30.57,35.04,2011-03-01,9.3
2011-04-29,30.62,29.11,33.64,2011-05-03,-4.93
2011-05-27,30.67,26.0,40.01,2011-06-06,-15.23
2011-06-27,26.83,25.74,29.01,2011-06-28,8.13
2011-07-08,30.35,29.15,32.75,2011-07-11,-3.95
2011-09-08,26.0,23.08,31.84,2011-09-22,-11.23
2011-09-21,26.45,23.39,32.57,2011-09-22,-11.57
2011-10-24,31.65,17.99,58.97,2014-11-28,-43.16
2011-12-05,31.31,25.72,42.49,2012-05-15,-17.85
2011-12-30,29.28,27.08,33.68,2012-01-17,15.03
2012-01-24,32.9,30.61,37.48,2012-02-07,-6.96
2012-02-21,33.16,28.34,42.8,2012-04-10,-14.54
2012-03-19,31.53,29.93,34.73,2012-03-22,-5.07
2012-07-12,23.75,22.23,26.79,2012-07-18,12.8
2012-08-27,29.66,28.22,32.54,2012-09-14,9.71
2012-09-14,31.53,28.37,37.85,2012-09-26,-10.02
2012-10-10,30.68,28.85,34.34,2012-10-23,-5.96
2012-11-30,30.66,28.93,34.12,2013-01-07,11.29
2013-01-11,35.57,30.11,46.49,2013-09-24,30.7
2013-01-28,36.07,34.06,40.09,2013-04-15,-5.57
2013-02-11,39.07,34.99,47.23,2013-02-26,-10.44
2013-03-05,36.12,34.53,39.3,2013-03-14,8.8
2013-03-19,38.5,37.76,39.98,2013-03-19,-1.92
2013-05-28,38.81,36.39,43.65,2013-08-01,12.47
2013-06-13,40.55,37.14,47.37,2013-06-21,-8.41
2013-07-16,41.64,38.05,48.82,2013-09-05,-8.62
2013-09-03,39.69,38.43,42.21,2013-09-05,-3.17
2013-09-12,44.39,37.86,57.45,2014-07-09,29.42
2013-09-25,47.24,42.41,56.9,2013-10-21,20.45
2013-10-25,55.24,48.77,68.18,2013-11-07,-11.71
2013-12-27,46.48,42.7,54.04,2014-01-09,-8.13
2014-04-03,43.09,40.01,49.25,2014-05-06,14.3
2014-04-15,43.51,41.07,48.39,2014-05-06,11.22
2014-05-13,48.91,44.72,57.29,2014-07-09,17.13
2014-05-30,50.09,46.86,56.55,2014-07-08,12.9
2014-06-19,52.91,49.83,59.07,2014-08-06,-5.82
2014-07-07,55.86,50.58,66.42,2014-08-06,-9.45
2014-09-02,48.85,46.65,53.25,2014-09-04,-4.5
,,,,,
,,,,,
Winners:,19,,,,
Losers,26,,,,
Avg Pct Gain,2.1462222222222223,,,,
