Date,Open,High,Low,Close,Volume,Adj Close
7/20/2007,14.9,15,14.25,14.5,15683500,14.5
7/23/2007,14.25,14.54,13.52,14.5,3112000,14.5
7/24/2007,14.4,14.4,13.66,13.9,1680700,13.9
7/25/2007,13.85,14,12.95,13.3,2122500,13.3
7/26/2007,12.97,13.05,12.3,12.4,2377700,12.4
7/27/2007,12.5,12.55,12.15,12.3,615100,12.3
7/30/2007,12.3,12.35,11.7,11.85,775100,11.85
7/31/2007,12.1,12.59,11.1,12.08,709700,12.08
8/1/2007,12,12.33,11.9,12.15,355000,12.15
8/2/2007,12.15,12.15,11.8,11.83,755700,11.83
8/3/2007,11.79,12.04,11.32,12.01,231500,12.01
8/6/2007,11.85,12.3,11.42,12.29,479700,12.29
8/7/2007,12.29,13,12.09,12.74,222700,12.74
8/8/2007,13.2,13.2,12.72,13,950100,13
8/9/2007,12.99,13,12.5,12.94,384200,12.94
8/10/2007,12.7,12.85,12.3,12.5,211800,12.5
8/13/2007,12.66,13.3,12.66,13.06,571400,13.06
8/14/2007,12.85,12.85,10,11.15,479700,11.15
8/15/2007,11.05,11.18,9.99,10,415800,10
8/16/2007,10.09,10.1,9.43,9.54,432700,9.54
8/17/2007,11,11,9.4,10.62,828800,10.62
8/20/2007,10.9,10.9,9.6,10.44,765900,10.44
8/21/2007,10.31,11.13,10.27,11.13,672200,11.13
8/22/2007,11.5,11.66,11.23,11.56,629200,11.56
8/23/2007,11.65,12,11.55,11.85,1178600,11.85
8/24/2007,11.81,12.3,11.3,12.28,1603400,12.28
8/27/2007,12.28,12.43,11.93,12.22,309100,12.22
8/28/2007,12.17,12.47,11.6,12.04,206100,12.04
8/29/2007,12.34,12.99,10.01,12.91,570800,12.91
8/30/2007,12.71,13.5,12.07,12.3,296100,12.3
8/31/2007,12.22,12.79,12.22,12.49,156200,12.49
9/4/2007,12.6,12.7,12,12.11,139300,12.11
9/5/2007,12.2,12.35,11.56,11.71,201600,11.71
9/6/2007,11.6,12.09,11.43,12.08,72400,12.08
9/7/2007,11.8,12,11.15,11.79,107700,11.79
9/10/2007,11.6,11.72,10.65,11.42,150400,11.42
9/11/2007,11.5,11.56,10.92,11.22,170300,11.22
9/12/2007,11.8,12.42,11.52,11.93,281600,11.93
9/13/2007,12,12.44,11.52,12.1,135400,12.1
9/14/2007,12.2,12.43,12.03,12.43,138500,12.43
9/17/2007,12.67,13,12.25,12.36,141500,12.36
9/18/2007,12.15,12.67,12,12.53,178400,12.53
9/19/2007,12.65,12.76,12.17,12.5,204100,12.5
9/20/2007,12.56,12.67,12.15,12.26,345800,12.26
9/21/2007,12.32,12.95,12.32,12.95,166900,12.95
9/24/2007,12.94,13.1,12.75,12.94,433100,12.94
9/25/2007,13,13,12.75,12.93,206700,12.93
9/26/2007,13,13.11,12.71,12.81,583400,12.81
9/27/2007,12.8,12.95,12.12,12.2,566700,12.2
9/28/2007,12.17,12.35,11.16,11.29,2495700,11.29
10/1/2007,11.37,11.38,10.6,11.27,1452700,11.27
10/2/2007,11.37,11.53,10.88,10.92,646400,10.92
10/3/2007,10.9,11.25,10.8,11,839800,11
10/4/2007,11,11.26,10.9,11.03,400600,11.03
10/5/2007,11.03,11.39,10.85,10.88,553800,10.88
10/8/2007,10.83,11.05,10.83,11.04,281100,11.04
10/9/2007,11.3,11.69,10.95,11.36,446900,11.36
10/10/2007,11.52,11.52,11.23,11.32,282700,11.32
10/11/2007,11.15,11.52,11.15,11.27,284800,11.27
10/12/2007,11.32,11.5,11.16,11.4,125900,11.4
10/15/2007,11.57,11.6,11.26,11.38,133800,11.38
10/16/2007,11.35,11.51,11.29,11.49,230600,11.49
10/17/2007,11.56,11.92,11.52,11.92,280900,11.92
10/18/2007,12,12,11.48,11.9,302600,11.9
10/19/2007,11.89,11.89,11.23,11.52,337400,11.52
10/22/2007,11.4,11.4,11.15,11.25,280600,11.25
10/23/2007,11.35,11.36,11,11.29,202600,11.29
10/24/2007,11.21,11.21,10.37,10.84,296500,10.84
10/25/2007,10.91,10.99,10.42,10.88,241900,10.88
10/26/2007,11.07,11.3,10.85,11.01,321200,11.01
10/29/2007,11.14,11.26,10.36,10.48,298500,10.48
10/30/2007,10.31,10.46,10.12,10.36,630300,10.36
10/31/2007,10.38,10.64,10.1,10.55,390800,10.55
11/1/2007,10.37,10.54,10,10.21,352200,10.21
11/2/2007,10.31,10.54,9.95,10.38,512000,10.38
11/5/2007,10.09,10.38,10.09,10.27,442900,10.27
11/6/2007,10.07,10.3,8.49,8.8,1690100,8.8
11/7/2007,8.81,8.83,8.36,8.6,1212800,8.6
11/8/2007,8.84,9.2,8.6,8.92,577900,8.92
11/9/2007,8.69,8.69,7.77,8.01,503800,8.01
11/12/2007,8.05,8.27,7.53,7.63,728500,7.63
11/13/2007,8.7,8.7,8.01,8.5,2716900,8.5
11/14/2007,8.68,8.85,8.51,8.74,1046000,8.74
11/15/2007,8.72,8.72,8.46,8.6,584100,8.6
11/16/2007,8.49,8.73,8.49,8.67,616000,8.67
11/19/2007,8.59,8.65,8.13,8.18,338700,8.18
11/20/2007,8.06,8.28,8,8.13,495600,8.13
11/21/2007,8.14,8.26,7.8,7.95,1262900,7.95
11/23/2007,8.03,8.36,7.9,8.28,873800,8.28
11/26/2007,8.31,8.5,8.02,8.04,375700,8.04
11/27/2007,8.05,8.51,8.04,8.44,798300,8.44
11/28/2007,8.44,8.65,8.44,8.55,281600,8.55
11/29/2007,8.55,8.58,8.39,8.47,271400,8.47
11/30/2007,8.55,8.58,8,8,229300,8
12/3/2007,8.09,8.26,7.85,8,218200,8
12/4/2007,8.08,8.54,8.02,8.48,422100,8.48
12/5/2007,8.63,8.64,8.4,8.63,172700,8.63
12/6/2007,8.76,9.51,8.53,9.47,430500,9.47
12/7/2007,9.45,10,9.34,9.87,193600,9.87
12/10/2007,9.97,10,9.69,9.93,873500,9.93
12/11/2007,9.98,10,8.56,8.56,416600,8.56
12/12/2007,8.85,8.93,8.53,8.7,314100,8.7
12/13/2007,8.61,8.65,8.5,8.5,184400,8.5
12/14/2007,8.62,8.62,8.38,8.49,214900,8.49
12/17/2007,8.95,9.74,8.8,9.52,544700,9.52
12/18/2007,9.42,9.81,9.25,9.6,307500,9.6
12/19/2007,9.65,10,9.21,9.39,320800,9.39
12/20/2007,8.99,9.18,8.54,9.07,268600,9.07
12/21/2007,9.27,9.49,8.93,9.17,430000,9.17
12/24/2007,8.98,9.2,8.9,9.2,60600,9.2
12/26/2007,9.1,9.46,9.05,9.43,200800,9.43
12/27/2007,9.4,9.4,8.6,8.6,270000,8.6
12/28/2007,8.9,8.9,8.65,8.73,255900,8.73
12/31/2007,8.67,8.74,8.5,8.5,427300,8.5
1/2/2008,8.51,8.66,8.5,8.51,295500,8.51
1/3/2008,8.57,8.57,8.17,8.18,337600,8.18
1/4/2008,8.12,8.22,7.65,7.84,363000,7.84
1/7/2008,7.68,8,7.3,7.67,266900,7.67
1/8/2008,7.72,8.1,7.71,8,211100,8
1/9/2008,7.83,8.06,7.45,7.9,332200,7.9
1/10/2008,7.84,7.94,7.55,7.89,162200,7.89
1/11/2008,7.87,7.9,7.31,7.5,481600,7.5
1/14/2008,7.53,7.6,7.37,7.47,623600,7.47
1/15/2008,7.54,7.61,6.97,7.15,424400,7.15
1/16/2008,7.19,7.19,6.58,6.62,1519000,6.62
1/17/2008,6.62,6.63,6.06,6.08,1050100,6.08
1/18/2008,6,6.27,5.96,6.17,491000,6.17
1/22/2008,5.78,6.84,5.78,6.5,480900,6.5
1/23/2008,6.33,6.68,6.03,6.6,459700,6.6
1/24/2008,6.65,6.94,6.57,6.76,234600,6.76
1/25/2008,6.85,6.92,6.64,6.67,193100,6.67
1/28/2008,6.68,7.13,6.65,7,216600,7
1/29/2008,7.06,7.06,6.65,6.72,131900,6.72
1/30/2008,6.65,6.82,6.18,6.31,272700,6.31
1/31/2008,6.17,6.35,6.17,6.26,808200,6.26
2/1/2008,6.4,6.56,6.31,6.48,220600,6.48
2/4/2008,6.48,6.69,6.28,6.5,145300,6.5
2/5/2008,6.49,6.65,6.39,6.43,141700,6.43
2/6/2008,6.32,6.4,6,6.21,760900,6.21
2/7/2008,6.23,6.48,6.2,6.4,2087600,6.4
2/8/2008,6.34,6.62,6.34,6.41,130700,6.41
2/11/2008,6.45,6.72,6.3,6.66,109900,6.66
2/12/2008,6.71,7.15,6.61,7.05,207100,7.05
2/13/2008,7.18,7.18,6.97,7,223200,7
2/14/2008,7.07,7.08,6.74,6.8,121000,6.8
2/15/2008,6.78,6.91,6.56,6.88,116400,6.88
2/19/2008,6.98,7.1,6.96,7.02,218400,7.02
2/20/2008,6.98,7.02,6.72,6.93,228400,6.93
2/21/2008,6.99,7.13,6.89,6.96,499600,6.96
2/22/2008,6.99,7,6.87,6.95,227200,6.95
2/25/2008,6.99,7.01,6.74,6.9,172200,6.9
2/26/2008,6.8,7.01,6.8,7,195000,7
2/27/2008,6.92,7,6.76,6.95,137200,6.95
2/28/2008,6.92,6.94,6.5,6.52,133800,6.52
2/29/2008,6.38,6.56,6.18,6.31,166900,6.31
3/3/2008,6.29,6.98,6.29,6.78,321500,6.78
3/4/2008,6.72,6.86,6.49,6.86,241800,6.86
3/5/2008,6.85,6.9,6.57,6.61,180800,6.61
3/6/2008,6.17,6.23,4.69,4.9,2546100,4.9
3/7/2008,5.19,5.77,4.51,5.77,1453700,5.77
3/10/2008,5.63,5.86,5.26,5.84,1105400,5.84
3/11/2008,5.81,6.31,5.32,5.71,842300,5.71
3/12/2008,5.75,5.75,5.44,5.5,339100,5.5
3/13/2008,5.43,5.5,4.96,5.37,1133200,5.37
3/14/2008,5.4,5.4,5.04,5.22,446500,5.22
3/17/2008,5.02,5.21,4.82,5.04,742300,5.04
3/18/2008,5.2,5.5,5.13,5.34,808400,5.34
3/19/2008,5.5,5.5,5.09,5.16,431200,5.16
3/20/2008,5.25,5.47,5.16,5.3,1817500,5.3
3/24/2008,5.25,6.19,5.21,6.14,751100,6.14
3/25/2008,5.95,6.23,5.7,5.93,369300,5.93
3/26/2008,5.91,6.11,5.75,5.9,358200,5.9
3/27/2008,5.81,6.03,5.75,5.94,227400,5.94
3/28/2008,6.03,6.5,5.78,5.83,768300,5.83
3/31/2008,6,7.09,5.7,6.89,875800,6.89
4/1/2008,7.05,7.27,6.84,7.23,819600,7.23
4/2/2008,7.32,7.78,6.4,7.67,968200,7.67
4/3/2008,7.74,8.38,7.51,8.14,824100,8.14
4/4/2008,8.14,8.67,7.77,8.05,959400,8.05
4/7/2008,7.82,8.5,7.27,7.75,427600,7.75
4/8/2008,7.29,8,7,7.83,328700,7.83
4/9/2008,7.83,7.87,7.37,7.44,181000,7.44
4/10/2008,7.37,7.83,7.19,7.67,278400,7.67
4/11/2008,7.55,7.6,7,7.32,291800,7.32
4/14/2008,7.27,7.54,6.96,6.96,234000,6.96
4/15/2008,6.94,7.12,6.89,7.04,184000,7.04
4/16/2008,7.01,7.43,7,7.31,213200,7.31
4/17/2008,7.3,7.31,7.01,7.14,87900,7.14
