Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
8/14/2007,12.85,11.32,15.91,8/14/2007,-11.91
9/12/2007,11.8,10.01,15.38,11/1/2007,-15.17
10/15/2007,11.57,10.83,13.05,10/24/2007,-6.4
12/24/2007,8.98,7.85,11.24,1/4/2008,-12.58
2/20/2008,6.98,6.0,8.94,3/6/2008,-14.04
4/10/2008,7.37,5.7,10.71,6/27/2008,-22.66
7/28/2008,6.04,4.14,9.84,9/19/2008,-31.46
8/19/2008,6.3,5.08,8.74,9/19/2008,-19.37
9/3/2008,6.65,6.0,7.95,9/5/2008,-9.77
9/12/2008,6.55,5.86,7.93,9/15/2008,-10.53
9/26/2008,6.11,5.8,6.73,9/30/2008,-5.07
10/20/2008,4.07,3.07,6.07,10/27/2008,-24.57
11/11/2008,3.49,3.02,4.43,11/11/2008,-13.47
12/9/2008,3.24,2.0,5.72,3/2/2009,-38.27
12/17/2008,3.67,2.98,5.05,1/21/2009,-18.8
1/14/2009,3.41,3.3,3.63,1/14/2009,-3.23
2/4/2009,3.12,2.84,3.68,2/6/2009,17.95
4/23/2009,1.6,1.3,2.2,5/1/2009,37.5
5/6/2009,2.4,1.4,4.4,8/5/2009,83.33
6/8/2009,2.31,2.04,2.85,6/17/2009,-11.69
8/31/2009,6.42,4.45,10.36,6/18/2010,-30.69
9/29/2009,5.99,5.1,7.77,11/2/2009,-14.86
10/13/2009,6.32,5.15,8.66,10/30/2009,-18.51
1/5/2010,7.73,5.66,11.87,5/6/2010,-26.78
2/22/2010,7.18,6.12,9.3,2/23/2010,-14.76
4/6/2010,7.01,6.46,8.11,5/4/2010,-7.85
7/22/2010,4.18,3.56,5.42,7/27/2010,29.67
8/13/2010,4.95,4.42,6.01,9/17/2010,21.41
9/2/2010,5.19,4.46,6.65,9/21/2010,28.13
9/30/2010,6.35,5.4,8.25,11/12/2010,-14.96
10/12/2010,6.54,6.17,7.28,11/4/2010,-5.66
10/28/2010,6.7,6.28,7.54,11/4/2010,-6.27
12/13/2010,6.18,5.11,8.32,1/4/2011,-17.31
3/24/2011,3.67,3.25,4.51,4/18/2011,-11.44
6/17/2011,2.43,2.06,3.17,7/12/2011,30.45
8/2/2011,3.41,2.43,5.37,8/8/2011,-28.74
9/14/2011,2.46,2.04,3.3,10/3/2011,-17.07
9/21/2011,2.3,2.23,2.44,9/21/2011,-3.04
11/17/2011,3.03,1.75,5.59,3/14/2013,84.49
12/5/2011,3.54,2.75,5.12,8/20/2012,-22.32
1/10/2012,4.0,3.69,4.62,1/24/2012,-7.75
3/21/2012,3.44,3.18,3.96,3/23/2012,-7.56
4/26/2012,3.36,3.02,4.04,5/3/2012,20.24
5/8/2012,3.78,3.44,4.46,5/17/2012,-8.99
6/5/2012,3.59,3.09,4.59,8/7/2012,27.86
7/10/2012,4.12,3.31,5.74,8/13/2012,-19.66
9/12/2012,2.74,2.33,3.56,10/12/2012,-14.96
11/5/2012,2.54,2.07,3.48,2/21/2013,37.01
12/12/2012,2.49,2.18,3.11,1/7/2013,24.9
12/26/2012,2.58,2.36,3.02,1/3/2013,17.05
2/28/2013,4.06,2.68,6.82,4/5/2013,67.98
4/3/2013,5.62,5.11,6.64,4/5/2013,18.15
5/20/2013,7.37,6.04,10.03,7/9/2013,36.09
6/26/2013,7.87,7.4,8.81,7/2/2013,11.94
7/16/2013,10.27,7.7,15.41,11/5/2013,-25.02
8/19/2013,9.68,9.04,10.96,10/8/2013,-6.61
9/19/2013,10.45,9.37,12.61,10/7/2013,-10.33
12/11/2013,6.99,6.63,7.71,2/13/2014,10.3
12/18/2013,7.19,6.75,8.07,2/12/2014,-6.12
1/21/2014,7.13,6.85,7.69,2/5/2014,-3.93
2/27/2014,9.27,6.72,14.37,5/21/2014,-27.51
6/16/2014,8.1,7.36,9.58,10/15/2014,-9.14
7/8/2014,8.95,8.43,9.99,8/15/2014,-5.81
7/23/2014,9.02,8.48,10.1,8/15/2014,-5.99
10/10/2014,8.0,7.71,8.58,10/13/2014,-3.63
10/30/2014,8.22,7.22,10.22,n/a,0.0
11/21/2014,7.72,7.45,8.26,12/1/2014,-3.5
12/16/2014,8.29,7.42,10.03,n/a,0.0
,,,,,
,,,,,
Winners:,18,,,,
Losers,48,,,,
Avg Pct Gain,-1.0804545454545462,,,,
