Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2007-10-02,8.27,7.55,9.71,2007-10-09,17.41
2007-11-29,10.24,8.97,12.78,2007-12-04,-12.4
2008-02-11,12.01,11.11,13.81,2008-02-20,14.99
2008-02-22,14.78,12.38,19.58,2008-04-15,32.48
2008-03-17,15.7,14.96,17.18,2008-03-17,-4.71
2008-04-01,16.8,14.36,21.68,2008-04-16,29.05
2008-04-10,18.28,16.39,22.06,2008-04-16,20.68
2008-05-01,21.4,17.48,29.24,2008-06-11,36.64
2008-05-14,25.16,22.55,30.38,2008-05-29,-10.37
2008-06-17,28.51,21.99,41.55,2008-07-03,-22.87
2008-08-13,19.12,16.3,24.76,2008-09-03,-14.75
2008-09-25,19.01,14.07,28.89,2008-10-02,-25.99
2009-01-14,3.04,2.47,4.18,2009-01-16,-18.75
2009-03-16,2.05,0.99,4.17,2009-03-25,103.41
2009-04-23,3.46,2.85,4.68,2009-05-05,35.26
2009-05-05,4.56,3.34,7.0,2009-05-29,53.51
2009-06-01,7.13,5.81,9.77,2009-06-17,-18.51
2009-07-20,5.4,4.13,7.94,2009-09-16,47.04
2009-08-07,6.28,5.5,7.84,2009-08-17,-12.42
2009-09-03,5.98,5.47,7.0,2009-09-10,17.06
2009-09-23,7.82,6.26,10.94,2009-10-21,39.9
2009-10-30,8.89,7.38,11.91,2009-12-17,33.97
2009-12-11,10.34,8.79,13.44,2009-12-28,29.98
2010-02-01,12.5,11.41,14.68,2010-02-05,-8.72
2010-03-01,13.91,10.81,20.11,2010-03-29,-22.29
2010-04-15,13.95,12.48,16.89,2010-04-22,-10.54
2010-06-10,11.01,9.61,13.81,2010-08-11,-12.72
2010-09-07,12.28,8.62,19.6,2013-08-01,59.61
2010-10-06,12.9,11.07,16.56,2010-11-03,-14.19
2010-11-18,11.8,10.98,13.44,2010-12-21,13.9
2010-12-07,13.0,11.59,15.82,2011-01-28,-10.85
2010-12-29,13.47,11.85,16.71,2011-01-20,-12.03
2011-03-07,12.22,10.31,16.04,2011-06-13,-15.63
2011-04-29,12.36,10.99,15.1,2011-06-13,-11.08
2011-05-25,12.33,11.73,13.53,2011-06-08,-4.87
2011-07-06,10.36,9.71,11.66,2011-07-19,12.55
2011-07-18,11.07,10.07,13.07,2011-08-09,-9.03
2011-09-08,12.3,10.63,15.64,2011-09-20,27.15
2011-10-17,13.67,11.13,18.75,2012-01-13,-18.58
2011-11-03,16.54,13.11,23.4,2012-01-12,-20.74
2011-12-06,15.61,14.2,18.43,2011-12-09,-9.03
2011-12-30,14.8,13.32,17.76,2012-01-12,-10.0
2012-03-02,11.59,9.95,14.87,2012-04-10,-14.15
2012-05-08,11.02,8.95,15.16,2013-03-14,37.57
2012-06-20,10.5,9.56,12.38,2012-06-21,-8.95
2012-07-20,12.45,11.23,14.89,2013-03-13,19.6
2012-08-28,12.97,12.34,14.23,2012-08-30,-4.86
2012-10-17,13.09,12.2,14.87,2012-11-08,-6.8
2012-11-30,13.35,12.14,15.77,2012-12-04,-9.06
2012-12-26,12.74,11.74,14.74,2013-03-12,15.7
2013-01-09,13.42,12.51,15.24,2013-01-14,-6.78
2013-02-13,13.36,12.82,14.44,2013-02-19,8.08
2013-03-26,16.3,12.93,23.04,2013-10-14,41.35
2013-04-30,16.31,14.73,19.47,2013-08-01,19.37
2013-05-20,16.5,16.09,17.32,2013-05-20,4.97
2013-06-13,16.8,16.51,17.38,2013-06-13,3.45
2013-07-12,18.17,17.45,19.61,2013-08-01,7.93
2013-07-26,19.05,17.5,22.15,2013-09-19,16.27
2013-09-30,21.76,20.15,24.98,2013-10-18,14.8
2013-10-25,22.66,20.67,26.64,2013-11-01,-8.78
2013-12-03,19.59,18.06,22.65,2014-01-08,-7.81
2013-12-13,19.64,18.94,21.04,2013-12-18,-3.56
2013-12-31,19.6,18.77,21.26,2014-01-02,-4.23
2014-01-31,18.16,16.95,20.58,2014-02-20,-6.66
2014-03-03,18.86,16.91,22.76,2014-03-24,-10.34
2014-04-10,18.92,16.85,23.06,2014-07-07,-10.94
2014-05-05,21.2,20.14,23.32,2014-05-07,-5.0
2014-08-18,14.25,12.38,17.99,2014-10-01,-13.12
2014-09-02,15.4,13.9,18.4,2014-09-22,-9.74
2014-11-13,7.51,6.62,9.29,2014-11-25,23.7
2014-11-26,8.94,7.26,12.3,2014-11-28,-18.79
2014-12-30,5.18,4.5,6.54,n/a,0.0
,,,,,
,,,,,
Winners:,30,,,,
Losers,41,,,,
Avg Pct Gain,5.024507042253521,,,,
