Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2006-04-07,18.65,17.67,20.61,2006-04-19,10.51
2006-04-25,20.21,18.25,24.13,2006-05-12,-9.7
2006-08-03,17.29,16.1,19.67,2006-11-15,13.77
2006-09-14,17.7,17.23,18.64,2006-09-14,-2.66
2006-10-13,17.5,16.51,19.48,2006-11-15,11.31
2006-11-01,18.11,17.5,19.33,2006-11-02,6.74
2006-11-22,19.07,18.39,20.43,2006-12-01,-3.57
2007-01-30,18.6,17.96,19.88,2007-03-05,-3.44
2007-04-04,20.89,17.55,27.57,2007-08-03,-15.99
2007-04-13,22.5,20.26,26.98,2007-07-09,-9.96
2007-05-18,24.03,21.29,29.51,2007-06-25,-11.4
2007-08-20,17.39,15.45,21.27,2008-02-28,22.31
2007-09-12,17.6,16.35,20.1,2007-12-24,14.2
2007-09-28,18.7,17.91,20.28,2007-10-10,-4.22
2007-10-19,18.19,17.85,18.87,2007-10-19,-1.87
2007-11-21,18.76,17.34,21.6,2008-01-18,-7.57
2007-12-13,18.74,17.56,21.1,2007-12-18,-6.3
2008-02-04,18.32,16.95,21.06,2008-02-28,14.96
2008-02-20,19.6,17.58,23.64,2008-05-09,20.61
2008-02-29,20.6,19.39,23.02,2008-03-03,-5.87
2008-04-14,21.03,19.14,24.81,2008-05-09,17.97
2008-05-15,24.6,20.97,31.86,2008-09-09,-14.76
2008-06-03,27.54,25.93,30.76,2008-07-03,-5.85
2008-06-11,28.06,27.44,29.3,2008-06-11,4.42
2008-08-27,24.06,21.83,28.52,2008-09-04,-9.27
2008-12-16,6.6,5.97,7.86,2008-12-22,-9.55
2009-02-17,6.55,5.92,7.81,2009-02-17,-9.62
2009-04-03,6.11,3.93,10.47,2009-07-31,71.36
2009-04-22,7.46,5.83,10.72,2009-08-03,43.7
2009-05-18,8.1,6.73,10.84,2009-08-03,33.83
2009-06-05,9.06,7.97,11.24,2009-06-22,-12.03
2009-07-27,9.75,7.15,14.95,2009-09-16,53.33
2009-08-07,10.66,9.32,13.34,2009-08-24,25.14
2009-09-04,11.66,11.06,12.86,2009-09-08,10.29
2009-10-15,16.72,13.38,23.4,2009-10-30,-19.98
2009-11-24,15.85,13.05,21.45,2010-01-13,35.33
2009-12-15,18.83,15.41,25.67,2010-04-06,36.33
2010-01-04,20.16,18.74,23.0,2010-01-25,14.09
2010-01-26,21.6,20.03,24.74,2010-01-28,-7.27
2010-03-08,24.23,17.21,38.27,2010-12-02,57.94
2010-03-30,23.1,21.64,26.02,2010-04-06,12.64
2010-04-29,24.42,22.35,28.56,2010-05-06,-8.48
2010-06-10,23.7,20.47,30.16,2010-06-29,-13.63
2010-08-02,22.59,20.65,26.47,2010-08-11,-8.59
2010-09-09,20.85,19.65,23.25,2010-09-24,11.51
2010-09-21,21.38,20.19,23.76,2010-09-29,11.13
2010-10-06,24.26,22.58,27.62,2010-11-05,13.85
2010-11-16,31.21,23.73,46.17,2011-03-21,47.93
2011-02-07,39.47,33.3,51.81,2011-06-29,31.26
2011-02-24,43.2,38.01,53.58,2011-05-05,-12.01
2011-03-28,46.18,39.33,59.88,2011-05-05,-14.83
2011-04-29,44.91,42.09,50.55,2011-05-03,-6.28
2011-05-16,45.44,37.64,61.04,2011-09-26,-17.17
2011-06-07,46.25,44.09,50.57,2011-06-13,-4.67
2011-06-27,46.1,42.29,53.72,2011-06-29,16.53
2011-07-14,52.74,50.43,57.36,2011-07-19,8.76
2011-09-21,44.17,41.09,50.33,2011-09-22,-6.97
2011-10-24,41.63,37.19,50.51,2011-11-15,21.33
2011-11-03,45.05,40.36,54.43,2011-12-02,20.82
2011-11-16,49.79,46.29,56.79,2011-11-21,-7.03
2011-12-07,52.79,44.92,68.53,2011-12-12,-14.91
2012-01-11,46.4,42.82,53.56,2012-03-01,15.43
2012-02-02,48.77,43.59,59.13,2012-05-08,-10.62
2012-02-27,52.27,48.84,59.13,2012-03-06,-6.56
2012-03-19,53.58,50.11,60.52,2012-03-22,-6.48
2012-07-12,37.04,32.37,46.38,2012-09-10,25.22
2012-08-14,44.2,38.87,54.86,2013-09-30,24.12
2012-09-17,49.32,41.5,64.96,2013-04-22,-15.86
2012-11-23,47.53,45.34,51.91,2012-11-28,-4.61
2013-01-09,46.76,43.61,53.06,2013-01-25,13.47
2013-02-04,53.15,49.75,59.95,2013-02-15,-6.4
2013-03-14,49.44,47.51,53.3,2013-03-18,-3.9
2013-05-14,46.51,40.83,57.87,2013-10-04,24.42
2013-07-18,45.43,42.04,52.21,2013-09-18,14.92
2013-08-08,46.9,44.34,52.02,2013-08-15,-5.46
2013-08-29,46.4,43.53,52.14,2013-09-18,12.37
2013-09-12,49.98,46.27,57.4,2013-10-04,14.85
2013-10-11,54.45,51.96,59.43,2013-10-18,9.15
2014-01-29,44.67,44.29,45.43,2014-01-29,-0.85
2014-02-27,44.66,41.95,50.08,2014-04-17,12.14
2014-03-31,46.98,45.44,50.06,2014-04-17,6.56
2014-05-29,46.32,44.15,50.66,2014-06-09,9.37
2014-06-17,52.39,45.84,65.49,2014-09-04,-12.5
2014-07-10,52.85,50.86,56.83,2014-07-15,-3.77
2014-07-30,53.57,50.8,59.11,2014-08-01,-5.17
2014-08-18,51.06,49.19,54.8,2014-08-20,-3.66
2014-11-13,37.46,34.18,44.02,2014-11-19,-8.76
,,,,,
,,,,,
Winners:,42,,,,
Losers,45,,,,
Avg Pct Gain,5.929540229885056,,,,
