Date,Open,High,Low,Close,Volume,Adj Close
2/1/2012,17.25,17.44,15.77,16,11511900,15.02627
2/2/2012,16,16.14,15.38,16,1378300,15.02627
2/3/2012,16,16.4,15.71,16.12,554100,15.13896
2/6/2012,16.4,16.45,15.92,16.35,336200,15.35497
2/7/2012,16.44,17.5,16.04,17.34,880400,16.28472
2/8/2012,17.2,17.74,17,17.2,777300,16.15324
2/9/2012,17.5,17.7,17.08,17.25,157100,16.20019
2/10/2012,17,17.32,16.95,17.05,200500,16.01237
2/13/2012,17.07,17.39,17.03,17.25,140500,16.20019
2/14/2012,17.25,17.32,16.8,16.85,329600,15.82454
2/15/2012,17,17,16.41,16.66,168400,15.6461
2/16/2012,16.75,16.97,16.57,16.79,71600,15.76819
2/17/2012,18.22,18.22,16.38,16.54,371500,15.5334
2/21/2012,16.75,16.75,16.45,16.75,251600,15.73062
2/22/2012,16.95,17.1,16.71,17,199500,15.96541
2/23/2012,17.05,17.09,16.74,17.01,407600,15.9748
2/24/2012,16.98,17.9,16.9,17.43,346600,16.36924
2/27/2012,17.36,17.57,17.09,17.4,166700,16.34106
2/28/2012,17.35,17.39,16.99,17.05,149000,16.01237
2/29/2012,17.14,17.14,16.9,16.92,113200,15.89028
3/1/2012,16.94,17.09,16.91,17.09,115000,16.04993
3/2/2012,17,17.21,16.89,16.94,101800,15.90906
3/5/2012,16.77,17.03,16.2,16.24,337600,15.25166
3/6/2012,16.1,16.65,16.1,16.25,489100,15.26105
3/7/2012,16.55,16.75,16.2,16.45,256400,15.44888
3/8/2012,16.65,16.89,16.49,16.56,200100,15.55219
3/9/2012,16.5,17.15,16.5,17.06,691100,16.02176
3/12/2012,17.35,17.85,17.19,17.34,753500,16.28472
3/13/2012,17.29,17.98,17.21,17.47,355000,16.40681
3/14/2012,17.65,18.85,17.6,18.3,553200,17.18629
3/15/2012,18.24,19.48,18.23,19.33,570800,18.15361
3/16/2012,19.56,20.45,19.41,19.94,884000,18.72649
3/19/2012,20.75,20.91,19.49,19.81,552000,18.6044
3/20/2012,19.67,21.78,19.61,21.09,1170900,19.8065
3/21/2012,21.6,21.75,20.5,21.4,794300,20.09763
3/22/2012,21.06,21.07,20.07,20.13,477000,18.90492
3/23/2012,20.78,21,20.4,20.62,259100,19.3651
3/26/2012,20.95,21.73,20.74,21.69,320300,20.36998
3/27/2012,21.78,22.14,21.54,21.87,303100,20.53903
3/28/2012,21.79,21.99,20.85,20.94,272800,19.66563
3/29/2012,20.87,21.21,20.38,20.72,348900,19.45901
3/30/2012,21.01,21.07,20.61,20.94,1027800,19.66563
4/2/2012,20.94,21.51,20.65,21.11,308900,19.82528
4/3/2012,21.79,21.79,20.59,21.21,362700,19.9192
4/4/2012,20.75,21.1,20.25,20.42,173800,19.17727
4/5/2012,20.34,20.4,19.72,20.01,381800,18.79222
4/9/2012,19.95,20.41,19.01,19.72,142300,18.51987
4/10/2012,19.72,20.06,18.47,19.09,304000,17.92822
4/11/2012,19.19,19.4,18.33,18.75,420900,17.60891
4/12/2012,18.77,19.3,18.4,18.79,381000,17.64647
4/13/2012,18.19,18.67,17.47,18,786700,16.90455
4/16/2012,18.8,18.8,17.34,17.63,433400,16.55707
4/17/2012,17.85,18.09,17.4,17.47,480700,16.40681
4/18/2012,17.93,17.93,16.64,16.88,546900,15.85271
4/19/2012,17.1,17.46,16.45,16.75,655500,15.73062
4/20/2012,16.88,17.01,16.32,16.56,188100,15.55219
4/23/2012,16.25,16.51,15.92,16.28,428900,15.28923
4/24/2012,16.31,17.05,16.23,16.83,303200,15.80575
4/25/2012,16.94,17.81,16.72,17.12,355800,16.07811
4/26/2012,17.08,17.96,16.92,17.84,435400,16.75429
4/27/2012,17.9,18.53,17.9,18.19,511200,17.08299
4/30/2012,18.15,18.27,17.57,18.12,200000,17.01725
5/1/2012,18.12,18.64,17.85,18.12,235200,17.01725
5/2/2012,17.98,18.65,17.96,18.52,159000,17.3929
5/3/2012,18.5,18.82,18.22,18.48,119000,17.35534
5/4/2012,18.41,18.43,17.56,17.78,263600,16.69794
5/7/2012,17.77,17.88,17.43,17.68,228000,16.60402
5/8/2012,17.61,17.73,15.38,15.58,1001700,14.63183
5/9/2012,15.49,15.8,14.76,15.15,355900,14.228
5/10/2012,15.28,15.35,14.37,14.85,440300,13.94625
5/11/2012,14.68,14.87,13.67,14.02,274000,13.16677
5/14/2012,14.25,14.32,13.04,13.11,274400,12.31215
5/15/2012,13.18,13.76,12.56,12.67,480500,11.89892
5/16/2012,12.72,13.3,11.83,11.94,685700,11.21335
5/17/2012,11.99,12.3,11.64,11.94,626500,11.21335
5/18/2012,12.08,12.15,11.42,11.71,293400,10.99735
5/21/2012,11.74,11.83,11.31,11.67,518100,10.95978
5/22/2012,11.66,12.7,11.59,12.05,339200,11.31666
5/23/2012,11.89,12.32,11.2,12.08,267000,11.34483
5/24/2012,12.12,12.19,11.66,12.05,103700,11.31666
5/25/2012,12.04,12.09,11.77,12.01,125500,11.27909
5/29/2012,12.11,12.45,11.8,11.99,186600,11.26031
5/30/2012,11.89,11.89,10.8,11.38,231900,10.68743
5/31/2012,11.75,12.35,11.03,12.17,308800,11.42935
6/1/2012,12.12,12.12,10.87,10.95,309000,10.2836
6/4/2012,10.96,11.2,10.01,10.17,429500,9.55107
6/5/2012,10.07,10.38,9.92,10.1,331000,9.48533
6/6/2012,10.21,11.55,10.21,11.04,378000,10.36812
6/7/2012,11.27,12.1,11.04,11.57,343300,10.86587
6/8/2012,11.53,11.68,11.07,11.3,213100,10.6123
6/11/2012,11.42,11.45,10.95,11.03,144800,10.35873
6/12/2012,11.06,11.29,11.03,11.1,140300,10.42447
6/13/2012,11.36,12.23,11.19,11.75,476200,11.03491
6/14/2012,12.17,12.17,11.48,11.85,297300,11.12883
6/15/2012,11.93,12.27,11.72,12.19,203900,11.44814
6/18/2012,12.19,12.56,12.12,12.5,365200,11.73927
6/19/2012,12.65,13.22,12.5,12.61,447200,11.84258
6/20/2012,12.75,12.76,12,12.11,291800,11.37301
6/21/2012,12.15,12.15,11.25,11.37,290100,10.67804
6/22/2012,11.46,11.8,11.3,11.8,387200,11.08187
6/25/2012,11.51,11.51,10.4,10.87,425800,10.20847
6/26/2012,10.89,11.15,10.51,10.64,243900,9.99247
6/27/2012,11.11,11.11,10.55,10.71,205400,10.05821
6/28/2012,10.57,11.03,10.57,10.89,239500,10.22725
6/29/2012,11.15,11.45,11.05,11.26,310900,10.57474
7/2/2012,11.5,11.64,10.91,11.1,341000,10.42447
7/3/2012,11.2,11.35,11.1,11.23,140300,10.54656
7/5/2012,11.29,11.68,11.27,11.45,325200,10.75317
7/6/2012,11.37,11.59,11.14,11.52,234100,10.81891
7/9/2012,11.55,11.55,10.77,10.94,296000,10.27421
7/10/2012,10.9,11.19,10.44,10.54,194600,9.89855
7/11/2012,10.53,10.68,10,10.16,227800,9.54168
7/12/2012,10.06,10.58,10.01,10.29,164200,9.66377
7/13/2012,10.48,11.08,10.4,11.08,235800,10.40569
7/16/2012,11.2,11.37,10.84,11.03,174600,10.35873
7/17/2012,11.21,11.21,10.88,10.93,107400,10.26482
