Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
3/2/2012,17.0,16.41,18.18,3/5/2012,-3.47
3/26/2012,20.95,16.1,30.65,4/23/2012,-23.15
6/25/2012,11.51,10.95,12.63,6/25/2012,-4.87
8/10/2012,10.72,9.57,13.02,8/16/2012,21.46
8/24/2012,12.35,10.05,16.95,11/19/2012,37.25
9/26/2012,14.09,13.73,14.81,9/26/2012,-2.56
10/23/2012,13.31,12.88,14.17,10/26/2012,-3.23
11/9/2012,15.2,12.37,20.86,2/6/2013,37.24
11/27/2012,16.26,12.75,23.28,2/26/2013,43.17
12/19/2012,16.42,14.11,21.04,2/11/2013,28.14
1/8/2013,18.98,15.51,25.92,2/28/2013,36.56
1/31/2013,19.7,18.51,22.08,2/14/2013,-6.04
2/12/2013,21.02,19.31,24.44,2/14/2013,-8.14
4/17/2013,21.25,20.38,22.99,4/17/2013,-4.09
5/13/2013,20.7,18.12,25.86,9/12/2013,24.93
7/8/2013,21.25,19.26,25.23,9/11/2013,18.73
7/29/2013,23.56,21.44,27.8,10/3/2013,18.0
9/13/2013,25.21,22.37,30.89,10/10/2013,22.53
9/24/2013,24.93,24.55,25.69,9/24/2013,-1.52
12/3/2013,35.25,32.03,41.69,12/13/2013,-9.13
1/6/2014,33.16,31.57,36.34,1/7/2014,-4.79
2/28/2014,32.51,28.85,39.83,4/3/2014,22.52
4/9/2014,39.59,35.19,48.39,5/13/2014,22.23
4/30/2014,43.23,38.25,53.19,6/4/2014,23.04
5/20/2014,48.01,44.44,55.15,6/30/2014,14.87
6/12/2014,51.73,48.67,57.85,7/16/2014,11.83
7/7/2014,56.0,52.04,63.92,8/22/2014,14.14
7/22/2014,59.6,54.93,68.94,8/27/2014,15.67
8/14/2014,61.29,57.99,67.89,8/27/2014,10.77
8/26/2014,66.72,59.3,81.56,10/2/2014,-11.12
11/21/2014,46.8,40.22,59.96,11/28/2014,-14.06
,,,,,
,,,,,
Winners:,18,,,,
Losers,13,,,,
Avg Pct Gain,10.545483870967743,,,,
