Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-01-24,145.6562,142.875,151.22,2000-01-24,-1.91
2000-02-09,144.4687,135.0,163.41,2000-02-18,-6.55
2000-03-10,140.1875,132.7187,155.13,2000-03-24,10.66
2000-03-23,149.1562,135.6875,176.09,2000-04-14,-9.03
2000-05-01,146.5625,140.5,158.69,2000-05-03,-4.14
2000-06-08,147.5,137.32809,167.84,2000-10-11,-6.9
2000-06-20,148.1875,144.625,155.31,2000-06-23,-2.4
2000-07-10,147.875,143.51559,156.59,2000-07-28,-2.95
2000-08-25,151.1562,145.5625,162.34,2000-09-18,-3.7
2000-10-30,138.4375,130.1562,155.0,2000-11-30,-5.98
2001-01-10,129.0,127.5625,131.88,2001-01-10,2.23
2001-01-30,136.3,133.5625,141.78,2001-02-08,-2.01
2001-04-02,116.3,108.04,132.82,2001-09-10,-7.1
2001-04-17,117.31,112.06,127.81,2001-05-16,8.95
2001-05-03,126.13,120.95,136.49,2001-06-15,-4.11
2001-05-22,131.83,124.4,146.69,2001-06-12,-5.64
2001-07-19,122.18,117.09,132.36,2001-07-24,-4.17
2001-08-14,120.14,116.75,126.92,2001-08-17,-2.82
2001-10-09,106.61,100.0,119.83,2002-06-14,-6.2
2001-11-14,115.17,105.56,134.39,2002-05-06,-8.34
2001-11-26,115.75,113.4,120.45,2001-11-28,-2.03
2002-03-18,117.1,107.87,135.56,2002-04-26,-7.88
2002-04-22,112.38,110.04,117.06,2002-04-24,-2.08
2002-05-24,109.98,105.6,118.74,2002-06-03,-3.98
2002-08-16,92.82,83.55,111.36,2002-09-23,-9.99
2002-10-18,87.65,77.07,108.81,2003-12-15,24.14
2002-10-29,89.08,87.68,91.88,2002-10-29,-1.57
2002-11-21,92.6,87.45,102.9,2002-12-27,-5.56
2003-01-10,91.95,87.11,101.63,2003-01-24,-5.26
2003-02-25,82.95,81.0,86.85,2003-03-11,-2.35
2003-03-26,87.56,79.38,103.92,2003-09-18,18.68
2003-04-29,92.14,88.89,98.64,2003-06-04,7.05
2003-05-12,93.5,90.5,99.5,2003-06-05,6.42
2003-06-11,99.16,93.07,111.34,2003-12-31,12.28
2003-07-14,101.2,96.43,110.74,2003-08-05,-4.71
2003-07-31,99.98,98.04,103.86,2003-08-04,-1.94
2003-08-28,100.4,98.45,104.3,2003-09-18,3.88
2003-09-24,103.12,101.35,106.66,2003-09-24,-1.72
2003-10-09,104.88,99.25,116.14,2004-01-27,10.74
2003-11-07,106.64,102.18,115.56,2004-01-26,8.36
2003-12-09,107.9,103.62,116.46,2004-01-27,7.93
2004-01-06,112.16,105.96,124.56,2005-07-28,11.06
2004-01-27,115.75,111.76,123.73,2004-03-11,-3.45
2004-02-18,116.2,112.78,123.04,2004-03-10,-2.94
2004-03-05,115.42,113.03,120.2,2004-03-10,-2.07
2004-04-13,115.26,108.85,128.08,2004-05-10,-5.56
2004-04-28,113.89,111.78,118.11,2004-04-29,-1.85
2004-05-24,110.53,108.41,114.77,2004-06-07,3.84
2004-06-07,113.43,111.87,116.55,2004-07-06,-1.38
2004-06-30,114.07,112.67,116.87,2004-07-01,-1.23
2004-08-26,110.96,106.59,119.7,2004-12-02,7.88
2004-09-13,113.31,110.1,119.73,2004-10-20,-2.83
2004-10-07,114.38,110.41,122.32,2004-10-20,-3.47
2004-11-18,118.53,109.35,136.89,2006-10-16,15.49
2004-12-21,119.6,117.73,123.34,2005-01-12,-1.56
2005-02-07,120.25,116.61,127.53,2005-03-29,-3.03
2005-03-02,120.76,118.58,125.12,2005-03-18,-1.81
2005-04-06,118.45,116.25,122.85,2005-04-14,-1.86
2005-05-13,116.3,113.97,120.96,2005-06-07,4.01
