Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2010-08-27,19.75,18.33,22.59,2010-09-16,14.38
2010-09-09,21.0,19.33,24.34,2010-11-04,15.9
2010-09-21,20.89,19.76,23.15,2010-09-23,-5.41
2010-10-06,21.06,19.5,24.18,2010-11-04,14.81
2010-11-04,22.6,20.51,26.78,2010-11-10,18.5
2010-12-01,35.87,28.42,50.77,2010-12-14,-20.77
2011-03-10,24.44,23.78,25.76,2011-03-10,-2.7
2011-04-06,26.99,21.77,37.43,2011-08-22,-19.34
2011-04-20,25.7,24.2,28.7,2011-05-10,11.67
2011-05-16,27.99,25.75,32.47,2011-05-17,-8.0
2011-06-03,29.95,26.17,37.51,2011-06-16,-12.62
2011-07-08,29.89,26.21,37.25,2011-08-04,-12.31
2011-07-29,27.8,26.63,30.14,2011-08-03,-4.21
2011-09-08,23.58,22.07,26.6,2011-09-20,12.81
2011-09-21,25.95,22.45,32.95,2011-11-11,26.97
2011-10-20,27.44,22.93,36.46,2012-01-13,-16.44
2011-11-03,30.0,27.4,35.2,2011-12-19,-8.67
2011-11-29,32.49,30.3,36.87,2011-12-08,-6.74
2012-02-09,32.0,26.4,43.2,2012-08-01,-17.5
2012-02-24,34.23,29.84,43.01,2012-05-08,-12.83
2012-03-19,35.26,32.62,40.54,2012-04-10,-7.49
2012-04-04,35.27,33.15,39.51,2012-04-09,-6.01
2012-07-20,32.07,30.8,34.61,2012-07-23,-3.96
2012-08-15,29.39,25.52,37.13,2013-01-24,26.34
2012-09-20,30.93,27.3,38.19,2012-10-15,-11.74
2012-10-23,27.38,26.86,28.42,2012-10-23,3.8
2012-11-13,31.29,27.02,39.83,2013-02-08,27.29
2012-11-29,33.44,30.5,39.32,2013-02-06,17.58
2013-02-04,38.4,33.82,47.56,2013-02-26,-11.93
2013-03-20,35.26,34.25,37.28,2013-03-25,5.73
2013-04-05,42.0,37.31,51.38,2013-04-23,22.33
2013-04-17,45.5,40.33,55.84,2013-04-30,22.73
2013-05-03,56.47,48.98,71.45,2013-05-09,26.53
2013-06-05,93.66,83.05,114.88,2013-07-01,22.66
2013-06-20,104.65,95.12,123.71,2013-07-09,18.21
2013-07-08,121.37,95.3,173.51,2013-09-03,42.96
2013-08-09,152.39999,119.56,218.08,2013-11-19,-21.55
2013-09-06,168.57001,162.50999,180.69,2013-09-09,-3.59
2013-09-19,170.8,160.50999,191.38,2013-09-30,12.05
2013-10-21,183.28,161.5,226.84,2013-10-23,-11.88
2013-12-04,144.32001,116.1,200.76,2014-02-11,39.11
2013-12-18,152.24001,138.53,179.66,2014-01-13,-9.01
2014-01-06,150.0,139.10001,171.8,2014-01-13,-7.27
2014-01-29,175.3,136.67,252.56,2014-02-25,44.07
2014-02-18,205.24001,169.36,277.0,2014-09-02,34.96
2014-02-26,258.57999,193.41,388.92,2014-04-15,-25.2
2014-04-30,203.60001,184.32001,242.16,2014-05-08,-9.47
2014-05-30,210.3,185.3,260.3,2014-08-11,23.78
2014-06-24,238.97,201.58,313.75,2014-12-16,-15.65
2014-08-01,226.09,213.60001,251.07,2014-08-06,11.05
2014-08-14,262.48999,246.5,294.47,2014-09-22,-6.09
2014-08-29,268.70001,252.61,300.88,2014-09-15,-5.99
2014-10-10,244.64,235.64999,262.62,2014-10-10,-3.67
2014-11-03,243.0,220.31,288.38,2014-12-08,-9.34
2014-11-21,252.21001,228.5,299.63,2014-12-02,-9.4
,,,,,
,,,,,
Winners:,24,,,,
Losers,31,,,,
Avg Pct Gain,3.444363636363637,,,,
