Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2005-05-27,13.47993,12.91993,14.6,2005-10-06,-4.15
2005-07-14,13.99994,13.24994,15.5,2005-07-27,-5.36
2005-08-18,13.66993,13.02992,14.95,2005-10-06,-4.68
2005-09-06,13.96993,13.61993,14.67,2005-09-29,-2.51
2005-09-21,14.05993,13.78994,14.6,2005-09-28,-1.92
2005-10-31,12.54994,12.00994,13.63,2005-11-04,-4.3
2005-11-15,12.24994,11.93993,12.87,2005-11-16,-2.53
2005-12-19,12.10994,11.88993,12.55,2005-12-19,-1.82
2006-01-18,11.81993,11.21994,13.02,2006-03-20,10.15
2006-03-08,12.44992,11.61994,14.11,2006-06-28,-6.67
2006-03-29,13.01994,12.51993,14.02,2006-05-24,-3.84
2006-05-01,13.02992,12.79993,13.49,2006-05-15,-1.77
2006-07-13,11.76992,11.24995,12.81,2006-07-18,-4.42
2006-08-04,12.99994,11.14994,16.7,2008-01-09,-14.23
2006-08-22,12.93993,12.32992,14.16,2006-12-07,9.43
2006-09-08,13.35993,12.85994,14.36,2006-09-18,-3.74
2006-10-10,13.51992,12.91993,14.72,2007-01-18,8.88
2006-11-06,13.62994,13.35993,14.17,2006-11-10,-1.98
2006-12-06,13.95991,13.51992,14.84,2007-01-18,6.3
2007-01-10,14.09992,13.69994,14.9,2007-01-18,5.67
2007-02-15,14.98992,14.57993,15.81,2007-02-27,-2.74
2007-04-11,14.81991,14.02991,16.4,2007-07-26,-5.33
2007-05-15,14.69993,14.49992,15.1,2007-05-23,2.72
2007-06-07,15.06993,14.81991,15.57,2007-06-07,-1.66
2007-06-26,15.11994,14.64993,16.06,2007-07-02,-3.11
2007-08-13,13.75993,13.29994,14.68,2007-08-15,-3.34
2007-09-07,13.98993,13.38993,15.19,2007-10-30,-4.29
2007-09-28,14.27994,13.85994,15.12,2007-10-03,-2.94
2007-10-18,13.95991,13.70992,14.46,2007-10-23,-1.79
2007-11-20,13.17994,12.74992,14.04,2007-11-20,-3.26
2008-02-20,11.98994,10.76993,14.43,2008-06-02,20.35
2008-03-25,12.52994,11.50995,14.57,2008-04-22,-8.14
2008-05-12,12.92994,11.30994,16.17,2008-09-16,-12.53
2008-06-02,13.38993,12.72993,14.71,2008-06-02,9.86
2008-08-14,12.50995,11.69993,14.13,2008-09-15,-6.48
2008-09-09,12.39992,11.87995,13.44,2008-09-11,-4.19
2008-11-10,9.19996,6.36995,14.86,2009-03-03,-30.76
2008-12-16,8.61996,7.95996,9.94,2009-02-17,-7.66
2009-01-07,9.26996,8.72995,10.35,2009-01-12,-5.83
2009-02-04,8.97994,8.34994,10.24,2009-02-11,-7.02
2009-03-27,8.13995,6.27996,11.86,2010-05-06,-22.85
2009-08-10,8.79995,8.21996,9.96,2009-08-18,-6.59
2009-09-16,9.34994,8.29994,11.45,2009-12-24,22.46
2009-10-06,10.20993,9.59996,11.43,2009-12-24,11.95
2010-01-05,11.13996,10.72994,11.96,2010-01-11,-3.68
2010-02-25,10.14994,10.00995,10.43,2010-03-02,2.76
2010-03-24,11.31995,10.22996,13.5,2010-05-06,-9.63
2010-04-26,11.09993,10.89995,11.5,2010-05-06,-1.8
2010-05-19,10.71996,10.54995,11.06,2010-05-20,-1.59
2010-06-03,10.97993,10.21994,12.5,2010-09-13,13.84
2010-07-22,11.35994,10.33995,13.4,2010-12-02,17.96
2010-09-16,12.34995,11.10995,14.83,2011-08-05,-10.04
2010-10-21,12.44992,12.09993,13.15,2010-11-04,5.62
2010-10-29,12.53992,12.34995,12.92,2010-11-03,3.03
2010-11-16,13.00992,12.77993,13.47,2010-11-16,-1.77
2010-12-21,14.16992,13.40993,15.69,2011-01-07,-5.36
2011-02-07,13.02992,12.63993,13.81,2011-02-18,-2.99
2011-03-17,12.84993,12.34995,13.85,2011-07-28,-3.89
2011-05-04,13.09992,12.39992,14.5,2011-07-18,-5.34
2011-05-25,13.29994,12.54994,14.8,2011-07-18,-5.64
2011-06-27,13.06994,12.74992,13.71,2011-07-14,-2.45
2011-08-30,12.28993,11.54994,13.77,2011-10-03,-6.02
2011-09-21,12.88992,12.29994,14.07,2011-09-22,-4.58
2011-12-05,11.94995,10.99996,13.85,2012-05-10,-7.95
2011-12-30,11.85995,11.24995,13.08,2012-04-10,-5.14
2012-02-08,12.36995,11.88993,13.33,2012-03-23,-3.88
2012-06-26,9.68996,9.39995,10.27,2012-06-27,-2.99
2012-07-10,9.84995,9.05996,11.43,2012-11-08,-8.02
2012-07-20,9.90994,9.60994,10.51,2012-07-24,-3.03
