Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2000-02-24,23.5625,22.625,25.44,2000-02-24,-3.98
2000-03-23,23.4375,21.25,27.81,2000-06-13,-9.33
2000-07-19,19.0625,18.375,20.44,2000-07-26,-3.61
2000-09-11,18.125,17.125,20.13,2000-09-15,-5.52
2000-12-11,15.75,13.5,20.25,2001-05-16,28.57
2001-01-05,17.75,15.3125,22.63,2001-01-25,-13.73
2001-02-07,16.03,15.25,17.59,2001-02-14,-4.87
2001-04-19,16.14,13.88,20.66,2001-05-21,28.0
2001-05-10,19.1,18.28,20.74,2001-05-21,8.59
2001-06-14,20.5,19.05,23.4,2001-07-24,-7.07
2001-07-18,21.2,19.66,24.28,2001-07-23,-7.26
2001-08-13,19.44,18.97,20.38,2001-08-14,4.84
2001-10-04,14.65,13.14,17.67,2001-10-19,-10.31
2001-10-17,14.55,13.66,16.33,2001-10-18,-6.12
2001-11-01,14.51,13.0,17.53,2001-12-05,20.81
2001-11-23,16.6,14.01,21.78,2002-06-05,31.2
2001-12-19,16.35,16.05,16.95,2001-12-19,-1.83
2002-01-10,18.31,17.49,19.95,2002-01-22,-4.48
2002-02-06,18.58,17.48,20.78,2002-03-01,-5.92
2002-04-05,18.22,16.36,21.94,2002-06-05,20.42
2002-04-17,18.46,17.86,19.66,2002-04-24,-3.25
2002-05-16,19.3,18.25,21.4,2002-06-03,10.88
2002-05-30,20.44,19.8,21.72,2002-06-05,6.26
2002-06-11,21.2,20.2,23.2,2002-06-11,-4.72
2002-06-25,20.0,19.21,21.58,2002-06-26,-3.95
2002-10-25,12.47,11.81,13.79,2002-10-29,-5.29
2002-11-07,13.15,11.52,16.41,2003-01-14,24.79
2002-12-13,13.45,12.4,15.55,2003-01-14,15.61
2003-01-10,14.49,12.85,17.77,2003-02-04,-11.32
2003-02-19,12.71,11.82,14.49,2003-02-25,-7.0
2003-03-24,10.9,9.97,12.76,2003-03-31,-8.53
2003-04-15,11.83,10.21,15.07,2003-05-15,27.39
2003-05-12,14.3,13.51,15.88,2003-06-02,11.05
2003-05-22,15.2,13.95,17.7,2003-06-17,16.45
2003-06-17,17.1,16.16,18.98,2003-06-30,-5.5
2003-07-17,15.93,15.4,16.99,2003-07-25,-3.33
2003-08-08,16.05,15.1,17.95,2003-08-28,11.84
2003-08-26,17.26,16.65,18.48,2003-08-29,7.07
2003-09-25,20.0,18.2,23.6,2003-09-30,-9.0
2003-10-15,20.91,19.12,24.49,2003-11-05,17.12
2003-11-12,23.65,19.66,31.63,2003-12-15,33.74
2003-12-05,26.0,22.5,33.0,2003-12-18,26.92
2004-01-05,35.9,30.51,46.68,2004-04-28,-15.01
2004-01-28,35.09,33.19,38.89,2004-01-28,-5.41
2004-03-05,38.1,33.98,46.34,2004-03-15,-10.81
2004-04-05,38.7,34.15,47.8,2004-04-21,-11.76
2004-04-13,39.7,37.83,43.44,2004-04-13,-4.71
2004-05-24,28.7,25.65,34.8,2004-06-23,21.25
2004-07-01,35.25,28.51,48.73,2004-11-22,38.24
2004-07-21,36.8,33.54,43.32,2004-07-22,-8.86
2004-08-20,37.0,35.05,40.9,2004-08-25,-5.27
2004-09-14,38.87,36.18,44.25,2004-09-21,-6.92
2004-10-12,38.4,34.73,45.74,2004-10-18,-9.56
2004-11-01,36.88,32.12,46.4,2004-11-15,25.81
2004-11-18,46.66,42.7,54.58,2005-02-07,16.97
2004-12-30,52.0,49.02,57.96,2005-01-03,-5.73
2005-01-24,50.53,45.2,61.19,2005-02-25,21.1
2005-02-14,52.91,51.05,56.63,2005-02-16,7.03
2005-07-20,38.26,34.09,46.6,2005-10-19,-10.9
2005-08-03,44.01,40.7,50.63,2005-08-19,-7.52
2005-09-12,45.4,40.22,55.76,2005-10-04,-11.41
2005-10-25,36.8,33.59,43.22,2005-11-29,17.45
2005-11-08,37.95,34.96,43.93,2005-11-29,15.76
2005-11-17,38.34,36.68,41.66,2005-11-23,8.66
2005-12-13,47.1,47.19,46.92,2005-12-13,-0.38
2006-01-04,49.44,44.67,58.98,2006-01-27,19.3
2006-01-20,51.58,49.15,56.44,2006-01-25,9.42
2006-02-24,57.8,53.62,66.16,2006-03-08,-7.23
2006-03-23,59.9,55.41,68.88,2006-04-19,14.99
2006-04-18,65.2,61.2,73.2,2006-05-02,12.27
2006-05-01,69.6,65.07,78.66,2006-05-17,-6.51
2006-06-01,65.65,58.75,79.45,2006-06-08,-10.51
2006-06-22,64.0,56.15,79.7,2006-08-11,-12.27
2006-08-23,60.51,56.12,69.29,2006-09-22,-7.25
2006-10-23,65.89,54.18,89.31,2007-02-15,35.54
2006-11-30,74.0,64.35,93.3,2007-02-21,26.08
2006-12-08,76.95,71.91,87.03,2006-12-22,-6.55
2007-01-30,77.9,69.57,94.56,2007-02-26,21.39
2007-03-01,86.25,83.5,91.75,2007-03-09,6.38
2007-03-30,101.22,88.69,126.28,2007-06-08,24.76
2007-04-23,106.89,101.43,117.81,2007-04-24,-5.11
2007-05-16,111.79,99.27,136.83,2007-07-26,-11.2
2007-06-12,115.84,105.28,136.96,2007-06-27,-9.12
2007-08-30,88.21,74.41,115.81,2007-12-24,31.29
2007-09-27,106.23,88.96,140.77,2007-11-12,-16.26
2007-12-06,97.0,88.95,113.1,2007-12-12,16.6
2008-02-04,107.0,91.11,138.78,2008-04-03,29.7
2008-02-26,112.28,101.45,133.94,2008-04-02,19.29
2008-03-19,119.95,103.22,153.41,2008-04-16,27.89
2008-03-31,125.85,107.7,162.15,2008-05-05,28.84
