Trade Opened,Open,Stop Loss,Take Profit,Trade Closed,Percent Gain
2012-03-20,23.15,19.5,30.45,2012-03-28,31.53
2012-04-04,25.94,22.3,33.22,2012-04-23,-14.03
2012-06-14,19.24,14.1,29.52,2013-05-02,53.43
2012-06-29,23.37,20.58,28.95,2012-07-12,-11.94
2012-09-11,24.87,17.5,39.61,2012-11-12,-29.63
2012-09-28,26.09,24.3,29.67,2012-10-19,-6.86
2012-12-04,19.13,18.37,20.65,2012-12-06,-3.97
2013-01-10,20.75,18.26,25.73,2013-04-05,24.0
2013-02-04,20.5,19.82,21.86,2013-02-06,6.63
2013-02-13,21.67,20.14,24.73,2013-03-08,14.12
2013-03-14,25.01,20.94,33.15,2013-06-26,32.55
2013-04-12,26.19,22.48,33.61,2013-06-26,28.33
2013-05-08,30.72,25.17,41.82,2013-07-19,36.13
2013-06-26,31.43,28.85,36.59,2013-07-09,16.42
2013-07-26,41.12,34.05,55.26,2013-08-02,34.39
2013-08-02,52.99,40.31,78.35,2014-01-08,47.86
2013-08-29,51.9,46.96,61.78,2013-09-06,19.04
2013-09-17,62.98,51.62,85.7,2014-02-06,36.07
2013-10-07,72.07,65.03,86.15,2013-10-08,-9.77
2013-11-06,71.18,62.68,88.18,2013-11-07,-11.94
2013-12-10,62.66,58.42,71.14,2014-01-06,13.53
2013-12-27,68.02,63.03,78.0,2014-01-08,14.67
2014-01-15,81.74,66.47,112.28,2014-04-04,-18.68
2014-02-13,89.58,71.41,125.92,2014-04-03,-20.28
2014-05-19,53.96,52.5,56.88,2014-05-19,5.41
2014-06-04,64.01,56.45,79.13,2014-06-24,23.62
2014-06-18,74.5,64.25,95.0,2014-10-13,-13.76
2014-06-27,76.54,73.69,82.24,2014-07-02,7.45
2014-08-18,76.74,67.0,96.22,2014-10-01,-12.69
2014-11-10,58.51,54.64,66.25,2014-12-02,-6.61
2014-12-26,53.0,49.17,60.66,n/a,0.0
,,,,,
,,,,,
Winners:,18,,,,
Losers,12,,,,
Avg Pct Gain,9.500666666666667,,,,
